EN,FR,ES,CS,DE,PL
jeep,jeep,jeep,jeep,Jeep,jeep
jet,jet,jet,jet,jet,strumień
jet boat,bateau à réaction,lancha motora,tryskový člun,Jetboot,łódź odrzutowa
jet pack,jet pack,jet pack,jet pack,Jetpack,plecak odrzutowy
jet ski,jet ski,moto acuática,vodní skútr,Jetski,skuter wodny
jetliner,avion de ligne,jetliner,tryskové letadlo,Verkehrsflugzeug,odrzutowiec
journey,voyage,viaje,cesta,Reise,podróż
jumbo jet,avion gros porteur,avión jumbo,jumbo jet,Jumbojet,jumbo jet
junk,bric-à-brac,chatarra,nevyžádaná pošta,Schrott,śmieci
kayak,kayak,kayak,kajak,Kajak,kajak
ketch,ketch,ketch,keč,Ketsch,kecz
landing craft,embarcation de débarquement,lancha de desembarco,vyloďovací plavidla,Landungsboot,jednostka desantowa
life raft,radeau de sauvetage,balsa salvavidas,záchranný člun,Rettungsinsel,tratwa ratunkowa
lifeboat,canot de sauvetage,bote salvavidas,záchranný člun,Rettungsboot,łódź ratunkowa
light rail,rail léger,metro ligero,lehká železnice,Stadtbahn,lekka kolej
limo,limousine,limusina,limuzína,Limousine,limuzyna
limousine,limousine,limusina,limuzína,Limousine,limuzyna
litter,litière,basura,odpadky,Abfälle,śmieci
locomotive,locomotive,locomotora,lokomotiva,Lokomotive,lokomotywa
lorry,camion,camión,nákladní automobil,Lkw,ciężarówka
low-rider,low-rider,low-rider,low-rider,Low-Rider,low-rider
magic carpet,tapis volant,alfombra mágica,kouzelný koberec,Zauberteppich,magiczny dywan
maglev,maglev,maglev,maglev,Magnetschwebebahn,maglev
mast,mât,mástil,stožár,Mast,maszt
minesweeper,démineur,buscaminas,minesweeper,Minenräumer,trałowiec
minibus,minibus,minibús,minibus,Kleinbus,minibus
minivan,monospace,monovolumen,minivan,Minivan,minivan
model T,modèle T,modelo T,model T,Modell T,model T
monorail,monorail,monorraíl,jednokolejná dráha,Einschienenbahn,kolej jednoszynowa
moped,cyclomoteur,ciclomotor,moped,Moped,motorower
motor,moteur,motor,motor,Motor,silnik
motor home,camping-car,autocaravana,obytný automobil,Wohnmobil,samochód kempingowy
motorboat,bateau à moteur,lancha motora,motorový člun,Motorboot,motorówka
motorcar,automobile,automóvil,automobil,Kraftfahrzeug,samochód
motorcycle,moto,motocicleta,motocykl,Motorrad,motocykl
mountain bike,vélo de montagne,bicicleta de montaña,horské kolo,Mountainbike,rower górski
narrowboat,bateau étroit,embarcación estrecha,úzká loď,Narrowboat,wąska łódź
oar,rame,remo,veslo,Ruder,wiosło
ocean liner,paquebot,transatlántico,zaoceánská loď,Ozeandampfer,transatlantyk
off-road vehicle,véhicule tout-terrain,vehículo todoterreno,terénní vozidlo,Geländewagen,pojazd terenowy
oil tanker,pétrolier,petrolero,ropný tanker,Öltankschiff,tankowiec
outboard motor,moteur hors-bord,motor fueraborda,přívěsný motor,Außenbordmotor,silnik zaburtowy
outrigger canoe,canoë à balancier,canoa con balancín,kanoe na výložnících,Auslegerkanu,kajak z wysięgnikiem
oxcart,charrette à bœufs,carro de bueyes,oxcart,oxcart,oxcart
paddle,pagaie,paleta,pádlo,Paddel,wiosło
paddlewheeler,roue à aubes,rueda de paletas,paddlewheeler,Schaufelraddampfer,koło łopatkowe
parachute,parachute,paracaídas,padák,Fallschirm,spadochron
passenger,passager,pasajero,cestující,Passagier,pasażer
patrol car,voiture de patrouille,coche patrulla,hlídkový vůz,Streifenwagen,samochód patrolowy
pedal boat,pédalo,bote de pedales,šlapadlo,Tretboot,rower wodny
pickup truck,camionnette,camioneta,pickup,Kleinlastwagen,pickup
pilot,pilote,piloto,pilot,Pilot,pilot
plane,avion,avión,letadlo,Flugzeug,samolot
police car,voiture de police,coche de policía,policejní vůz,Polizeiauto,radiowóz
power boat,bateau à moteur,barco de motor,motorový člun,Motorboot,łódź motorowa
prairie schooner,goélette des prairies,goleta de la pradera,prérijní škuner,Prärie Schoner,szkuner preriowy
propeller,hélice,hélice,vrtule,Propeller,śmigło
PT boat,Bateau PT,Barco PT,Loď PT,PT Boot,Łódź PT
pumper truck,camion pompe,camión cisterna,čerpací vůz,Pumptruck,ciężarówka z pompą
punt,coup de poing,batea,punt,Stocherkahn,punt
push cart,chariot de poussée,carro de empuje,tlačný vozík,Schiebewagen,wózek pchany
racecar,voiture de course,coche de carreras,závodní vůz,Rennwagen,samochód wyścigowy
racing car,voiture de course,coche de carreras,závodní vůz,Rennwagen,samochód wyścigowy
raft,radeau,balsa,raft,Floß,tratwa
ragtop,haut de forme,ragtop,ragtop,Ragtop,ragtop
railroad,chemin de fer,ferrocarril,železnice,Bahnlinie,kolej
railway,chemin de fer,ferrocarril,železnice,Eisenbahn,kolej
rapid transit,transport rapide,tránsito rápido,rychlý tranzit,Schnellbahn,szybki tranzyt
recreational vehicle,véhicule de loisirs,vehículo recreativo,rekreační vozidlo,Reisemobil,pojazd rekreacyjny
rickshaw,pousse-pousse,rickshaw,rikša,Rikscha,riksza
ride,manège,paseo,jízda,Fahrt,jazda
riverboat,bateau fluvial,barco fluvial,riverboat,Riverboat,łódź rzeczna
roadster,roadster,roadster,roadster,Roadster,roadster
rocket,fusée,cohete,raketa,Rakete,rakieta
rover,rover,rover,rover,Rover,łazik
rowboat,barque,bote de remos,veslice,Ruderboot,łódź wiosłowa
rudder,gouvernail,timón,kormidlo,Ruder,ster
runabout,runabout,runabout,runabout,Runabout,runabout
RV,VR,RV,RV,RV,RV
sail,voile,navegar,plachta,Segel,żagiel
sailboat,voilier,velero,plachetnice,Segelboot,żaglówka
satellite,satellite,satélite,satelit,Satellit,satelita
school bus,bus scolaire,autobús escolar,školní autobus,Schulbus,autobus szkolny
schooner,goélette,goleta,škuner,Schoner,szkuner
scooter,scooter,scooter,skútr,Scooter,skuter
scull,godille,scull,lebka,Skull,czaszka
seaplane,hydravion,hidroavión,hydroplán,Wasserflugzeug,wodnosamolot
sedan,berline,berlina,sedan,Limousine,sedan
sedan chair,chaise à porteurs,silla de manos,sedací židle,Sänfte,krzesło sedan
Segway,Segway,Segway,Segway,Segway,Segway
semi,semi,semi,semi,semi,pół
ship,navire,barco,loď,Schiff,statek
shuttle,navette,lanzadera,kyvadlová doprava,Shuttle,wahadłowiec
side wheeler,roue latérale,rueda lateral,boční vozík,Seitenradler,wózek boczny
ski lift,remontée mécanique,telesilla,lyžařský vlek,Skilift,wyciąg narciarski
ski tow,remorquage de ski,remolque de esquí,lyžařský vlek,Skischlepplift,wyciąg narciarski
skiff,skiff,esquife,skif,Skiff,skiff
sled,traîneau,trineo,sáně,Schlitten,sanki
sledge,luge,trineo,sáňky,Schlitten,sanie
sleigh,traîneau,trineo,sáně,Schlitten,sanie
snow cat,chat des neiges,gato de nieve,sněžná kočka,Pistenraupe,śnieżny kot
snowmobile,motoneige,moto de nieve,sněžný skútr,Schneemobil,skuter śnieżny
snowplow,chasse-neige,quitanieves,sněžný pluh,Schneepflug,pług śnieżny
space shuttle,navette spatiale,transbordador espacial,raketoplán,Spaceshuttle,prom kosmiczny
spaceship,vaisseau spatial,nave espacial,vesmírná loď,Raumschiff,statek kosmiczny
speedboat,hors-bord,lancha rápida,motorový člun,Schnellboot,motorówka
sport-utility vehicle/SUV,véhicule utilitaire sport/SUV,vehículo utilitario deportivo/SUV,sportovně-užitkové vozidlo/SUV,Geländewagen/SUV,pojazd sportowo-użytkowy/SUV
sports car,voiture de sport,coche deportivo,sportovní vůz,Sportwagen,samochód sportowy
squad car,voiture de police,coche patrulla,služební vůz,Streifenwagen,radiowóz
SST,SST,TSM,SST,SST,SST
stagecoach,diligence,diligencia,dostavník,Postkutsche,dyliżans
station wagon,break,camioneta,kombi,Kombiwagen,kombi
steamboat,bateau à vapeur,barco de vapor,parník,Dampfschiff,parowiec
steamship,bateau à vapeur,barco de vapor,parník,Dampfer,parowiec
stock car,stock car,coche de serie,skladové auto,Stockcar,samochód seryjny
stretch limo,limousine extensible,limusina,roztahovací limuzína,Stretchlimousine,limuzyna stretch
stroller,poussette,cochecito,kočárek,Kinderwagen,wózek
subcompact,sous-compact,subcompacto,subkompaktní,subkompakt,subkompakt
submarine,sous-marin,submarino,ponorka,U-Boot,łódź podwodna
submersible,submersible,sumergible,ponorné,Untertauchbar,zanurzalny
subway,métro,metro,metro,U-Bahn,metro
surrey,surrey,surrey,surrey,surrey,surrey
SUV,SUV,SUV,SUV,SUV,SUV
T-bar lift,Elévateur à barre en T,Elevador de barra en T,Zdvihák T-bar,Schlepplift,Podnośnik teowy
tank,réservoir,depósito,nádrž,Tank,zbiornik
tanker,camion-citerne,cisterna,cisterna,Tanker,tankowiec
taxi,taxi,taxi,taxi,Taxi,taksówka
taxicab,taxi,taxi,taxislužba,Taxi,taksówka
thresher,batteur,zorro,mlátička,Drescher,młockarnia
tire,pneu,neumático,pneumatika,Reifen,opona
toboggan,toboggan,tobogán,sáňky,Toboggan,tobogan
tow truck,dépanneuse,grúa,odtahový vůz,Abschleppwagen,laweta
town car,voiture de ville,coche urbano,městský vůz,Stadtauto,samochód miejski
tracks,pistes,pistas,stopy,Spuren,utwory
tractor,tracteur,tractor,traktor,Traktor,ciągnik
tractor-trailer,tracteur-remorque,tractor-remolque,tahač s návěsem,Sattelzugmaschine,ciągnik siodłowy
trail bike,vélo de randonnée,bicicleta de montaña,trailové kolo,Trekkingrad,rower trailowy
trailer,remorque,remolque,přívěs,Anhänger,przyczepa
train,train,tren,vlak,Zug,pociąg
tram,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
tramway,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
transit,transit,tránsito,tranzit,Transit,tranzyt
trawler,chalutier,arrastrero,trawler,Trawler,trawler
tricycle,tricycle,triciclo,tříkolka,Dreirad,trójkołowiec
trolley,chariot,carro,vozík,Wagen,wózek
truck,camion,camión,nákladní automobil,Lkw,ciężarówka
tugboat,remorqueur,remolcador,vlečný člun,Schlepper,holownik
two-door,deux portes,dos puertas,dvoudveřový,zweitürig,dwudrzwiowy
U-boat,U-boat,U-boat,U-boat,U-Boot,U-Boot
ultralight craft,embarcation ultralégère,embarcaciones ultraligeras,ultralehká plavidla,ultraleichtes Boot,ultralekki statek
umiak,umiak,umiak,umiak,umiak,umiak
unicycle,monocycle,monociclo,jednokolka,Einrad,monocykl
van,fourgon,van,van,van,van
vehicle,véhicule,vehículo,vozidlo,Fahrzeug,pojazd
vespa,vespa,vespa,vespa,vespa,vespa
vessel,navire,recipiente,nádoba,Schiff,statek
wagon,wagon,vagón,vůz,Wagen,wagon
warship,navire de guerre,buque de guerra,válečná loď,Kriegsschiff,okręt wojenny
wheel,roue,rueda,kolo,Rad,koło
wheelbarrow,brouette,carretilla,trakař,Schubkarre,taczka
wheelchair,fauteuil roulant,silla de ruedas,invalidní vozík,Rollstuhl,wózek inwalidzki
windjammer,salon de coiffure,cortavientos,windjammer,windjammer,windjammer
windshield,pare-brise,parabrisas,čelní sklo,Windschutzscheibe,przednia szyba
wreck,épave,naufragio,ztroskotání,Wrack,wrak
yacht,yacht,yate,jachta,Jacht,jacht
yawl,yole,yawl,yawl,Jolle,cis
Zamboni,Zamboni,Zamboni,Zamboni,Zamboni,Zamboni
zeppelin,zeppelin,zeppelin,zeppelin,Zeppelin,zeppelin
