EN,FR,ES,CS,DE,PL
hutch,clapier,conejera,hutch,Stall,hutch
island,île,isla,ostrov,Insel,wyspa
kitchen island,îlot de cuisine,isla de cocina,kuchyňský ostrov,Kücheninsel,wyspa kuchenna
ladderback chair,chaise à dossier échelonné,silla con respaldo de escalera,židle s žebříkovým opěradlem,Stuhl mit Leiterlehne,krzesło z oparciem drabinkowym
lamp,lampe,lámpara,lampa,Lampe,lampa
lawn chair,chaise de jardin,silla de jardín,židle na trávník,Gartenstuhl,krzesło trawnikowe
lift chair,chaise élévatrice,sillón elevador,zvedací křeslo,Liftsessel,krzesło podnoszone
light,lumière,luz,světlo,Licht,światło
lintel,linteau,dintel,nadpraží,Sturz,nadproże
lounge chair,chaise longue,tumbona,křeslo pro odpočinek,Loungesessel,fotel wypoczynkowy
lounger,chaise longue,tumbona,lehátko,Liegestuhl,leżak
love seat,siège d'amour,love seat,sedadlo lásky,Zweiersofa,fotel miłosny
mantle,manteau,manto,plášť,Mantel,płaszcz
mattress,matelas,colchón,matrace,Matratze,materac
mirror,miroir,espejo,zrcadlo,Spiegel,lustro
Murphy bed,Murphy bed,Cama Murphy,Murphyho postel,Schrankbett,Łóżko w szafie
nightstand,table de nuit,mesilla de noche,noční stolek,Nachttisch,szafka nocna
office chair,chaise de bureau,silla de oficina,kancelářská židle,Bürostuhl,krzesło biurowe
ottoman,ottoman,otomana,otoman,Ottomane,otomana
pantry,garde-manger,despensa,spíž,Speisekammer,spiżarnia
park bench,banc public,banco del parque,lavička v parku,Parkbank,ławka parkowa
patio chair,chaise de patio,silla de patio,židle na terasu,Terrassenstuhl,krzesło tarasowe
patio table,table de patio,mesa de patio,stůl na terase,Terrassentisch,stół tarasowy
pew,banc,banco,lavice,Kirchenbank,ławka
piano bench,banc de piano,banco para piano,klavírní lavice,Klavierbank,ława fortepianowa
picnic table,table de pique-nique,mesa de picnic,piknikový stůl,Picknicktisch,stół piknikowy
pillow,oreiller,almohada,polštář,Kopfkissen,poduszka
porch swing,balançoire de porche,columpio de porche,houpačka na verandě,Verandaschaukel,huśtawka gankowa
rack,support,estante,stojan,Gestell,stojak
recliner,fauteuil inclinable,sillón reclinable,sklápěcí lehátko,Liegestuhl,leżanka
rocking chair,chaise à bascule,mecedora,houpací křeslo,Schaukelstuhl,fotel bujany
room divider,séparateur de pièces,separador de espacios,rozdělovač místností,Raumtrenner,rozdzielacz pokoju
rug,tapis,alfombra,koberec,teppich,dywanik
sconce,applique,candelabro,svícny,Wandleuchter,kinkiet
screen,écran,pantalla,obrazovka,Bildschirm,ekran
seat,siège,asiento,sedadlo,Sitz,siedziba
secretary,secrétaire,secretario,sekretářka,Sekretärin,sekretarz
sectional sofa,canapé sectionnel,sofá seccional,sekční pohovka,Sektionssofa,sofa segmentowa
settee,canapé,sofá,sedací souprava,Sofabett,kanapa
shelf,étagère,estante,police,Regal,półka
shoji screen,écran shoji,pantalla shoji,obrazovka shoji,Shoji-Leinwand,ekran shoji
sideboard,buffet,aparador,příborník,Anrichte,kredens
sleeper sofa,canapé-lit,sofá cama,rozkládací pohovka,Schlafsofa,sofa z funkcją spania
sofa,canapé,sofá,pohovka,Sofa,sofa
sofabed,canapé-lit,sofabed,rozkládací pohovka,Sofabett,kanapa
stool,tabouret,taburete,stolice,Hocker,stołek
table,table,tabla,tabulka,Tabelle,tabela
tansu,tansu,tansu,tansu,tansu,tansu
tea cart,chariot à thé,carro de té,čajový vozík,Teewagen,wózek na herbatę
throne,trône,trono,trůn,Thron,tron
throw rug,tapis de sol,alfombra,koberec na házení,Vorleger,dywanik
trundle bed,lit gigogne,cama nido,postel s hrazdou,Rollbett,łóżko trójdzielne
tuffet,tuffet,tuffet,tuffet,Buffet,tufet
valet,valet,aparcacoches,komorník,Diener,laweta
vanity,vanité,vanidad,marnost,Eitelkeit,próżność
Venetian blinds,Stores vénitiens,Persianas venecianas,Žaluzie,Jalousien,Żaluzje weneckie
vitrine,vitrine,vitrina,vitrína,Vitrine,witryna
wardrobe,armoire,armario,šatník,Kleiderschrank,szafa
waste basket,corbeille à papier,papelera,koš na odpadky,Papierkorb,kosz na śmieci
waterbed,lit à eau,cama de agua,vodní postel,Wasserbett,łóżko wodne
window shades,stores de fenêtre,persianas,stínění oken,Jalousien,rolety okienne
Windsor chair,Chaise Windsor,Silla Windsor,Židle Windsor,Windsor-Stuhl,Krzesło Windsor
wing chair,fauteuil à oreilles,sillón,křídlové křeslo,Ohrensessel,fotel skrzydłowy
work table,table de travail,mesa de trabajo,pracovní stůl,Arbeitstisch,stół roboczy
writing desk,bureau,escritorio,psací stůl,Schreibpult,biurko
