EN,FR,ES,CS,DE,PL
blackberry,mûre,mora,blackberry,Brombeere,jeżyna
bland,fade,soso,nevýrazný,fade,nijaki
blood orange,orange sanguine,naranja sanguina,krvavý pomeranč,Blutorange,krwista pomarańcza
blueberry,myrtille,arándanos,borůvky,Blaubeere,jagoda
boil,bouillir,hervir,vařit,kochen,gotować
bowl,cuvette,cuenco,mísa,Schale,miska
boysenberry,mûre de Boysen,boysenberry,boysenberry,Boysenbeere,jeżyna
bran,son,salvado,otruby,Kleie,otręby
bread,pain,pan,chléb,Brot,chleb
breadfruit,fruit à pain,fruta del pan,chlebovník,Brotfrucht,chlebowiec
breakfast,petit déjeuner,desayuno,snídaně,Frühstück,śniadanie
brisket,poitrine,pecho,bůček,Rinderbrust,mostek
broccoli,brocoli,brócoli,brokolice,Brokkoli,brokuły
broil,griller,asar,broil,grillen,bulion
brown rice,riz brun,arroz integral,hnědá rýže,Naturreis,brązowy ryż
brownie,brownie,brownie,brownie,Brownie,brownie
brunch,brunch,brunch,brunch,Brunch,brunch
Brussels sprouts,Choux de Bruxelles,Coles de Bruselas,Růžičková kapusta,Rosenkohl,Brukselka
buckwheat,sarrasin,alforfón,pohanka,Buchweizen,gryka
buns,brioches,bollos,buchty,Brötchen,bułki
burrito,burrito,burrito,burrito,Burrito,burrito
butter,beurre,mantequilla,máslo,Butter,masło
butter bean,haricot beurre,judía de mantequilla,fazole másla,Butterbohne,fasola maślana
cake,gâteau,tarta,dort,Kuchen,ciasto
calorie,calorie,calorías,kalorie,Kalorien,kaloria
candy,bonbons,caramelo,cukrovinky,Süßigkeiten,cukierek
candy apple,pomme d'amour,manzana caramelizada,sladké jablko,glasierter Apfel,słodkie jabłko
cantaloupe,cantaloup,melón cantalupo,meloun,Kantaloupe,kantalupa
capers,câpres,alcaparras,kapary,Kapern,kapary
caramel,caramel,caramelo,karamel,Karamell,karmel
caramel apple,pomme caramel,manzana caramelizada,karamelové jablko,Karamellapfel,karmelowe jabłko
carbohydrate,glucides,hidratos de carbono,sacharidy,Kohlenhydrate,węglowodan
carrot,carotte,zanahoria,mrkev,Karotte,marchew
cashew,noix de cajou,anacardo,kešu,Cashews,nerkowiec
cassava,manioc,yuca,maniok,Maniok,maniok
casserole,cocotte,cazuela,kastrol,Auflauf,zapiekanka
cater,théâtre,cater,catering,Verpflegung,zbiornik
cauliflower,chou-fleur,coliflor,květák,Blumenkohl,kalafior
caviar,caviar,caviar,kaviár,Kaviar,kawior
cayenne pepper,poivre de Cayenne,pimienta de cayena,kajenský pepř,Cayennepfeffer,pieprz cayenne
celery,céleri,apio,celer,Staudensellerie,seler
cereal,céréales,cereales,obiloviny,Müsli,zboże
chard,blettes,acelga,mangold,Mangold,boćwina
cheddar,cheddar,cheddar,čedar,Cheddar,cheddar
cheese,fromage,queso,sýr,Käse,ser
cheesecake,gâteau au fromage,tarta de queso,tvarohový koláč,Käsekuchen,sernik
chef,chef,chef,šéfkuchař,Chefkoch,szef kuchni
cherry,cerise,cereza,cherry,Kirsche,wiśnia
chew,mâcher,masticar,žvýkat,kauen,żuć
chick peas,pois chiches,garbanzos,cizrna,Kichererbsen,ciecierzyca
chicken,poulet,pollo,kuře,Huhn,kurczak
chili,chili,chile,chilli,Chili,chili
chips,copeaux,chips,čipy,Chips,żetony
chives,ciboulette,cebollino,pažitka,Schnittlauch,szczypiorek
chocolate,chocolat,chocolate,čokoláda,Schokolade,czekolada
chopsticks,baguettes,palillos,hůlky,Essstäbchen,pałeczki
chow,chow,chow,chow,chow,chow
chutney,chutney,chutney,chutney,Chutney,chutney
cilantro,coriandre,cilantro,koriandr,Koriander,kolendra
cinnamon,cannelle,canela,skořice,Zimt,cynamon
citron,cédrat,cidra,citron,Zitrone,cytryna
citrus,agrumes,cítricos,citrusy,Zitrusfrüchte,cytrus
clam,palourde,almeja,škeble,Muschel,małż
cloves,clous de girofle,clavo,hřebíček,Nelken,goździki
cobbler,cordonnier,zapatero,cobbler,Cobbler,szewc
coconut,noix de coco,coco,kokosový ořech,Kokosnuss,kokos
cod,morue,bacalao,treska obecná,Kabeljau,dorsz
coffee,café,café,káva,Kaffee,kawa
coleslaw,salade de chou,ensalada de col,zelný salát,Krautsalat,surówka
collard greens,feuilles de chou,berza,zelený salát collard,Blattkohl,kapusta włoska
comestibles,comestibles,comestibles,comestibles,Kleinigkeiten,artykuły spożywcze
cook,cuisiner,cocinero,vařit,kochen,kucharz
cookbook,livre de cuisine,libro de cocina,kuchařka,Kochbuch,książka kucharska
cookie,biscuit,galleta,cookie,Cookie,ciasteczko
corn,maïs,maíz,kukuřice,Mais,kukurydza
cornflakes,cornflakes,copos de maíz,kukuřičné lupínky,Cornflakes,płatki kukurydziane
cornmeal,farine de maïs,harina de maíz,kukuřičná mouka,Maismehl,mączka kukurydziana
cottage cheese,fromage blanc,requesón,tvaroh,Hüttenkäse,twaróg
crab,crabe,cangrejo,krab,Krabbe,krab
crackers,craquelins,galletas,krekry,Cracker,krakersy
cranberry,canneberge,arándano,brusinky,Moosbeere,żurawina
cream,crème,crema,krém,Creme,krem
cream cheese,fromage à la crème,queso crema,smetanový sýr,Frischkäse,ser śmietankowy
crepe,crêpe,crepé,krepový,Krepp,krepa
crisp,croustillant,crujiente,crisp,Knackig,rześki
crunch,croquer,crunch,křupání,knirschen,chrupnięcie
crust,croûte,corteza,kůra,Kruste,skorupa
cucumber,concombre,pepino,okurka,Gurke,ogórek
cuisine,cuisine,cocina,kuchyně,Küche,kuchnia
cupboard,armoire,armario,skříň,Schrank,szafka
cupcake,cupcake,magdalena,cupcake,Cupcake,babeczka
curds,caillebotte,cuajada,tvaroh,Quark,twaróg
currants,groseilles,grosellas,rybíz,Johannisbeeren,porzeczki
curry,curry,curry,kari,Curry,curry
custard,crème anglaise,natillas,pudink,Pudding,krem
daikon,daikon,daikon,daikon,Daikon,daikon
daily bread,pain quotidien,pan de cada día,chléb vezdejší,tägliches Brot,chleb powszedni
dairy,laitier,lácteos,mléčné výrobky,Molkerei,nabiał
dandelion greens,feuilles de pissenlit,hojas de diente de león,pampelišková zelenina,Löwenzahngrün,mniszek lekarski
Danish pastry,Pâtisserie danoise,Pastelería danesa,Dánské pečivo,Plundergebäck,Ciasto duńskie
dates,dates,fechas,data,Daten,daty
dessert,dessert,postre,dezert,Nachspeise,deser
diet,régime,dieta,dieta,Diät,dieta
digest,résumé,resumen,digest,Zusammenfassung,skrót
digestive system,système digestif,aparato digestivo,trávicí systém,Verdauungssystem,układ trawienny
dill,aneth,eneldo,kopr,Dill,koper
dine,dîner,cene en,večeře,speisen,posiłek
diner,restaurant,comedor,diner,Diner,jadłodajnia
dinner,dîner,cena,večeře,Abendessen,kolacja
dip,trempette,dip,namáčení,dip,zanurzenie
dish,plat,plato,nádobí,Gericht,danie
dough,pâte,masa,těsto,Teig,ciasto
doughnut,beignet,donut,kobliha,Krapfen,pączek
dragonfruit,fruit du dragon,fruta del dragón,dragonfruit,Drachenfrucht,smoczy owoc
dressing,habillage,aderezo,oblékání,Abrichten,opatrunek
dried,séché,seco,sušené,getrocknet,suszony
drink,boire,beber,pít,trinken,napój
dry,sec,seco,suché,trocken,suchy
durian,durian,durian,durian,Durian,durian
eat,manger,come,jíst,essen,jeść
Edam cheese,Fromage Edam,Queso Edam,Sýr Edam,Edamer Käse,Ser edamski
edible,comestible,comestible,jedlé,essbar,jadalny
egg,œuf,huevo,vejce,Ei,jajko
eggplant,aubergine,berenjena,lilek,Aubergine,bakłażan
elderberry,sureau,baya del saúco,bezinky,Holunder,czarny bez
endive,endive,escarola,endivie,Endivie,endywia
entree,entrée,entrada,entree,Entree,entree
fast,rapide,rápido,rychle,schnell,szybki
fat,gras,grasa,tuk,fett,tłuszcz
fava beans,fèves,habas,fazole fava,Favabohnen,fasola fava
feast,festin,fiesta,svátek,Festtag,święto
fed,nourri,alimentado,krmení,gefüttert,karmiony
feed,alimentation,alimentar,krmivo,Futtermittel,pasza
fennel,fenouil,hinojo,fenykl,Fenchel,koper włoski
fig,fig,fig,obr.,Abbildung,fig
fillet,filet,filete,filé,Filet,filet
fire,incendie,fuego,požár,Feuer,ogień
fish,poisson,pescado,ryby,Fisch,ryba
flan,flan,flan,flan,Torte,flan
flax,lin,lino,len,Flachs,len
flour,farine,harina,mouka,Mehl,mąka
food,nourriture,alimentos,potraviny,Lebensmittel,jedzenie
food pyramid,pyramide alimentaire,pirámide alimentaria,potravinová pyramida,Lebensmittelpyramide,piramida żywieniowa
foodstuffs,les denrées alimentaires,productos alimenticios,potraviny,Lebensmittel,żywność
fork,fourchette,horquilla,vidlice,Gabel,widelec
freezer,congélateur,congelador,mraznička,Gefrierschrank,zamrażarka
French fries,Frites,Patatas fritas,Hranolky,Pommes frites,Frytki
fried,frites,frito,smažené,gebraten,smażony
fritter,beignet,buñuelo,fritéza,fritter,frytka
frosting,glaçage,glaseado,poleva,Zuckerguss,lukier
fruit,fruits,fruta,ovoce,Obst,owoc
fry,alevins,freír,smažení,braten,narybek
garlic,ail,ajo,česnek,Knoblauch,czosnek
gastronomy,gastronomie,gastronomía,gastronomie,Gastronomie,gastronomia
gelatin,gélatine,gelatina,želatina,Gelatine,żelatyna
ginger,gingembre,jengibre,zázvor,Ingwer,imbir
ginger ale,soda au gingembre,ginger ale,zázvorové pivo,Ingwerlimonade,piwo imbirowe
gingerbread,pain d'épices,pan de jengibre,perník,Lebkuchen,piernik
glasses,lunettes,gafas,brýle,Brille,okulary
Gouda cheese,Fromage Gouda,Queso Gouda,Sýr gouda,Gouda-Käse,Ser Gouda
grain,céréales,grano,obilí,Getreide,ziarno
granola,granola,granola,granola,Müsli,granola
grape,raisin,uva,hrozny,Trauben,winogrono
grapefruit,pamplemousse,pomelo,grapefruit,Grapefruit,grejpfrut
grated,râpé,rallado,strouhaný,gerieben,tarty
gravy,sauce,salsa,omáčka,Soße,sos
green bean,haricot vert,judía verde,zelené fazole,grüne Bohne,zielona fasola
green tea,thé vert,té verde,zelený čaj,Grüner Tee,zielona herbata
greens,verts,verdes,zeleně,Grünzeug,zielenie
grub,tambouille,grub,grub,grub,żarcie
guacamole,guacamole,guacamole,guacamole,Guacamole,guacamole
guava,goyave,guayaba,guava,Guave,guawa
gyro,gyroscope,giroscopio,gyroskop,Kreisel,żyroskop
halibut,flétan,fletán,halibut,Heilbutt,halibut
ham,jambon,jamón,šunka,Schinken,szynka
hamburger,hamburger,hamburguesa,hamburger,hamburger,hamburger
hash,hachage,hash,hash,Hash,hash
hazelnut,noisette,avellana,lískové oříšky,Haselnuss,orzech laskowy
herbs,herbes,hierbas,byliny,Kräuter,zioła
honey,miel,miel,med,Honig,miód
honeydew,miellat,mielada,medovník,Honigtau,spadź
horseradish,raifort,rábano picante,křen,Meerrettich,chrzan
hot,chaud,caliente,hot,heiß,gorący
hot dog,hot-dog,perrito caliente,hot dog,Hot Dog,hot dog
hot sauce,sauce piquante,salsa picante,horká omáčka,scharfe Sauce,ostry sos
hummus,houmous,hummus,hummus,Hummus,hummus
hunger,la faim,hambre,hlad,Hunger,głód
hungry,affamés,hambriento,hladový,hungrig,głodny
ice,glace,hielo,led,Eis,lód
ice cream,crème glacée,helado,zmrzlina,Eiscreme,lody
ice cream cone,cône de glace,cono de helado,kornout zmrzliny,Eiswaffel,rożek do lodów
iceberg lettuce,laitue iceberg,lechuga iceberg,ledový salát,Eisbergsalat,sałata lodowa
iced tea,thé glacé,té helado,ledový čaj,Eistee,mrożona herbata
icing,glaçage,glaseado,poleva,Vereisung,lukier
jackfruit,jacquier,jackfruit,jackfruit,Jackfrucht,jackfruit
jalapeño,piment jalapeño,jalapeño,jalapeño,Jalapeño,jalapeño
jam,confiture,mermelada,jam,Marmelade,zacięcie
jelly,gelée,gelatina,želé,Gelee,galaretka
jellybeans,bonbons,gominolas,želé fazole,Jellybeans,żelki
jicama,jicama,jícama,jicama,Jicama,jicama
jimmies,jimmies,jimmies,jimmies,.,jimmies
Jordan almonds,Amandes de Jordanie,Almendras de Jordania,Jordánské mandle,Jordanien-Mandeln,Migdały Jordan
jug,cruche,jarra,džbán,Krug,dzbanek
juice,jus,zumo,džus,Saft,sok
julienne,julienne,julienne,julienne,julienne,julienne
junk food,malbouffe,comida basura,nezdravé potraviny,Junkfood,śmieciowe jedzenie
kale,chou frisé,col rizada,kapusta,Grünkohl,jarmuż
kebab,kebab,kebab,kebab,Kebab,kebab
ketchup,ketchup,ketchup,kečup,Ketchup,ketchup
kettle,bouilloire,hervidor,konvice,Wasserkocher,czajnik
kettle corn,kettle corn,maíz hervido,kukuřice v konvičce,Popcorn,czajnik kukurydziany
kidney beans,haricots rouges,alubias rojas,fazolové lusky,Kidneybohnen,fasola kidney
kitchen,cuisine,cocina,kuchyně,Küche,kuchnia
kiwi,kiwi,kiwi,kiwi,kiwi,kiwi
knife,couteau,cuchillo,nůž,Messer,nóż
kohlrabi,chou-rave,colinabo,kedlubny,Kohlrabi,kalarepa
kumquat,kumquat,kumquat,kumquat,Kumquat,kumkwat
ladle,louche,cucharón,naběračka,Schöpfkelle,chochla
lamb,agneau,cordero,jehněčí,Lammfleisch,jagnięcina
lard,lard,manteca de cerdo,sádlo,Schmalz,smalec
lasagna,lasagnes,lasaña,lasagne,Lasagne,lasagna
legumes,légumineuses,legumbres,luštěniny,Hülsenfrüchte,rośliny strączkowe
lemon,citron,limón,citron,Zitrone,cytryna
lemonade,limonade,limonada,limonáda,Limonade,lemoniada
lentils,lentilles,lentejas,čočka,Linsen,soczewica
lettuce,laitue,lechuga,salát,Kopfsalat,sałata
licorice,réglisse,regaliz,lékořice,Lakritz,lukrecja
lima beans,haricots de Lima,habas,fazole lima,Limabohnen,fasola lima
lime,chaux,cal,limetka,Kalk,wapno
liver,foie,hígado,játra,Leber,wątroba
loaf,pain,hogaza,bochník,Laib,bochenek
lobster,homard,langosta,humr,Hummer,homar
lollipop,sucette,piruleta,lízátko,Lollipop,lizak
loquat,nèfle,níspero,loquat,Mispel,loquat
lox,lox,lox,lox,Lachs,lox
lunch,déjeuner,almuerzo,oběd,Mittagessen,lunch
lunch box,boîte à lunch,fiambrera,krabička na oběd,Brotdose,lunch box
lunchmeat,viande de déjeuner,almuerzo,lunchmeat,Lunchmeat,mięso na lunch
lychee,litchi,lichi,liči,Lychee,liczi
macaroni,macaronis,macarrones,makaróny,Makkaroni,makaron
macaroon,macaron,macarrones,makronky,Makrone,makaronik
main course,plat principal,plato principal,hlavní chod,Hauptgang,danie główne
maize,maïs,maíz,kukuřice,Mais,kukurydza
mandarin orange,mandarine,mandarina,mandarinkový pomeranč,Mandarine,mandarynka pomarańczowa
mango,mangue,mango,mango,Mango,mango
maple syrup,sirop d'érable,jarabe de arce,javorový sirup,Ahornsirup,syrop klonowy
margarine,margarine,margarina,margarín,Margarine,margaryna
marionberry,mûre de marion,marionberry,marionberry,marionberry,marionetka
marmalade,marmelade,mermelada,marmeláda,Marmelade,marmolada
marshmallow,guimauve,malvavisco,marshmallow,Marshmallow,pianka
mashed potatoes,purée de pommes de terre,puré de patatas,bramborová kaše,Kartoffelpüree,tłuczone ziemniaki
mayonnaise,mayonnaise,mayonesa,majonéza,Mayonnaise,majonez
meat,viande,carne,maso,Fleisch,mięso
meatball,boulette de viande,albóndigas,masové kuličky,Frikadelle,klops
meatloaf,pain de viande,pastel de carne,sekaná,Hackbraten,klops
melon,melon,melón,meloun,Melone,melon
menu,menu,menú,nabídka,Menü,menu
meringue,meringue,merengue,bezé,Baiser,beza
micronutrient,micronutriment,micronutrientes,mikroživiny,Mikronährstoff,mikroelement
milk,lait,leche,mléko,Milch,mleko
milkshake,milkshake,batido,mléčný koktejl,Milchshake,koktajl mleczny
millet,millet,mijo,proso,Hirse,proso
mincemeat,viande hachée,carne picada,mleté maso,Hackfleisch,mięso mielone
minerals,minéraux,minerales,minerály,Mineralien,minerały
mint,menthe,menta,máta,Minze,mięta
mints,menthes,mentas,mincovny,Minze,miętówki
mochi,mochi,mochi,mochi,Mochi,mochi
molasses,mélasse,melaza,melasa,Melasse,melasa
mole sauce,sauce mole,salsa mole,krtčí omáčka,Mole-Sauce,sos mole
mozzarella,mozzarella,mozzarella,mozzarella,Mozzarella,mozzarella
muffin,muffin,magdalena,muffin,Muffin,muffin
mug,tasse,taza,hrnek,Becher,kubek
munch,munch,munch,munch,mampfen,munch
mushroom,champignon,setas,houby,Pilz,grzyb
mussels,moules,mejillones,mušle,Muscheln,małże
mustard,moutarde,mostaza,hořčice,Senf,musztarda
mustard greens,feuilles de moutarde,hojas de mostaza,hořčičná zelenina,Senfkörner,gorczyca
mutton,mouton,cordero,skopové,Hammel,baranina
napkin,serviette,servilleta,ubrousek,Serviette,serwetka
nectar,nectar,néctar,nektar,Nektar,nektar
nectarine,nectarine,nectarina,nektarinka,Nektarine,nektarynka
nibble,grignoter,picar,nibble,Knabbern,skubać
noodles,nouilles,fideos,nudle,Nudeln,makaron
nosh,manger,nosh,nosh,naschen,nosh
nourish,nourrir,nutrir,vyživovat,nähren,odżywiać
nourishment,alimentation,alimentación,výživa,nahrung,odżywianie
nut,écrou,tuerca,ořech,Nuss,nakrętka
nutmeg,noix de muscade,nuez moscada,muškátový oříšek,Muskatnuss,gałka muszkatołowa
nutrient,nutriment,nutriente,živiny,Nährstoff,składnik odżywczy
nutrition,l'alimentation,nutrición,výživa,Ernährung,odżywianie
nutritious,nutritif,nutritivo,výživné,nahrhaft,pożywny
oatmeal,farine d'avoine,avena,ovesné vločky,Haferflocken,płatki owsiane
oats,avoine,avena,oves,Hafer,owies
oil,huile,aceite,olej,Öl,olej
okra,gombo,okra,okra,Okra,okra
oleo,oléo,oleo,oleo,oleo,oleo
olive,olive,oliva,olivový,Olive,oliwka
omelet,omelette,tortilla,omeleta,Omelett,omlet
omnivore,omnivore,omnívoro,všežravec,Allesfresser,wszystkożerca
onion,oignon,cebolla,cibule,Zwiebel,cebula
orange,orange,naranja,oranžová,orange,pomarańczowy
order,commande,pedir,objednávka,Bestellung,porządek
oregano,origan,orégano,oregano,Oregano,oregano
oven,four,horno,trouba,Ofen,piekarnik
oyster,huître,ostra,ústřice,Austern,ostryga
pan,casserole,pan,pan,pan,patelnia
pancake,crêpe,panqueque,palačinka,Pfannkuchen,naleśnik
papaya,papaye,papaya,papája,Papaya,papaja
parsley,persil,perejil,petržel,Petersilie,pietruszka
parsnip,panais,chirivía,pastinák,Pastinake,pasternak
pasta,pâtes,pasta,těstoviny,Nudeln,makaron
pastry,pâtisserie,pastelería,pečivo,Gebäck,ciasto
pate,pâté,paté,paštika,pate,pasztet
patty,patte d'oie,patty,patty,patty,patty
pattypan squash,courge patte d'oie,calabaza pattypan,pattypan squash,Pattypan-Kürbis,kabaczek pattypan
pea,pois,guisante,hrách,Erbsen,groszek
pea pod,cosse de pois,vaina de guisante,hrachový lusk,Erbsenschote,strąk grochu
peach,pêche,melocotón,broskev,Pfirsich,brzoskwinia
peanut,cacahuète,cacahuete,arašídy,Erdnuss,orzeszek ziemny
peanut butter,beurre de cacahuètes,mantequilla de cacahuete,arašídové máslo,Erdnussbutter,masło orzechowe
pear,poire,pera,hruška,Birne,gruszka
pecan,noix de pécan,nuez,pekanové ořechy,Pekannuss,pekan
pepper,poivre,pimienta,pepř,Pfeffer,pieprz
pepperoni,pepperoni,pepperoni,feferonky,Peperoni,pepperoni
persimmon,kaki,caqui,persimmon,Dattelpflaume,persymona
pickle,cornichon,pepinillo,nakládané okurky,Essiggurke,ogórek
picnic,pique-nique,picnic,piknik,Picknick,piknik
pie,tarte,tarta,koláč,Kuchen,ciasto
pilaf,pilaf,pilaf,pilaf,Pilaw,pilaw
pineapple,ananas,piña,ananas,Ananas,ananas
pita bread,pain pita,pan de pita,pita chléb,Fladenbrot,chleb pita
pitcher,lanceur,lanzador,džbán,Krug,miotacz
pizza,pizza,pizza,pizza,pizza,pizza
plate,assiette,placa,deska,Platte,płyta
platter,plateau,plato,talíř,Teller,półmisek
plum,prune,ciruela,švestka,Pflaume,śliwka
poached,poché,escalfado,pošírované,pochiert,gotowany
pomegranate,grenade,granada,granátové jablko,Granatapfel,granat
pomelo,pomelo,pomelo,pomelo,Pomelo,pomelo
pop,pop,pop,pop,pop,pop
popcorn,pop-corn,palomitas,popcorn,Popcorn,popcorn
popovers,popovers,popovers,popovers,Popover,popovers
popsicle,sucette glacée,paleta,nanuky,Eis am Stiel,popsicle
pork,porc,cerdo,vepřové maso,Schweinefleisch,wieprzowina
pork chops,côtelettes de porc,chuletas de cerdo,vepřové kotlety,Schweinekoteletts,kotlety wieprzowe
pot,marmite,olla,hrnec,Topf,garnek
pot roast,pot-au-feu,asado de olla,pečeně v kotlíku,Schmorbraten,pieczeń
potato,pomme de terre,patata,brambory,Kartoffel,ziemniak
preserves,conserves,conserva,konzervuje,konserviert,przetwory
pretzel,bretzel,pretzel,preclík,Brezel,precel
prime rib,côte de bœuf,costilla,žebírka,Hochrippe,żeberka
protein,protéines,proteína,protein,Eiweiß,białko
provisions,dispositions,disposiciones,ustanovení,Bestimmungen,postanowienia
prune,pruneau,ciruela pasa,švestky,Pflaume,śliwka
pudding,pudding,pudding,pudink,Pudding,budyń
pumpernickel,pumpernickel,pan de centeno,pumpernickel,Pumpernickel,pumpernikiel
pumpkin,citrouille,calabaza,dýně,Kürbis,dynia
punch,coup de poing,punzón,děrování,Stanze,cios
quiche,quiche,quiche,quiche,Quiche,quiche
quinoa,quinoa,quinoa,quinoa,Quinoa,komosa ryżowa
radish,radis,rábano,ředkvičky,Rettich,rzodkiewka
raisin,raisin sec,pasas,rozinky,Rosinen,rodzynek
raspberry,framboise,frambuesa,malina,Himbeere,malina
rations,rations,raciones,příděly,Verpflegung,racje
ravioli,ravioli,ravioli,ravioli,Ravioli,ravioli
recipe,recette,receta,recept,Rezept,przepis
refreshments,rafraîchissements,refrescos,občerstvení,Erfrischungen,przekąski
refrigerator,réfrigérateur,frigorífico,chladnička,Kühlschrank,lodówka
relish,relish,saborear,pochutnejte si na,geniessen,przysmak
restaurant,restaurant,restaurante,restaurace,Restaurant,restauracja
rhubarb,rhubarbe,ruibarbo,rebarbora,Rhabarber,rabarbar
ribs,côtes,costillas,žebra,Rippen,żebra
rice,riz,arroz,rýže,Reis,ryż
roast,rôti,asado,pečeně,Braten,pieczeń
roll,rouleau,rollo,roll,Rolle,rolka
rolling pin,rouleau à pâtisserie,rodillo,váleček,Nudelholz,wałek do ciasta
romaine,romaine,romana,římský,Romana,rzepak
rosemary,romarin,romero,rozmarýn,Rosmarin,rozmaryn
rye,seigle,centeno,žito,Roggen,żyto
saffron,safran,azafrán,šafrán,Safran,szafran
sage,sage,salvia,šalvěj,Salbei,mędrzec
salad,salade,ensalada,salát,Salat,sałatka
salami,salami,salami,salám,Salami,salami
salmon,saumon,salmón,losos,Lachs,łosoś
salsa,salsa,salsa,salsa,Salsa,salsa
salt,sel,sal,sůl,Salz,sól
sandwich,sandwich,sándwich,sendvič,Sandwich,kanapka
sauce,sauce,salsa,omáčka,Sauce,sos
sauerkraut,choucroute,chucrut,kysané zelí,Sauerkraut,kapusta kiszona
sausage,saucisse,salchicha,klobása,Wurst,kiełbasa
savory,savoureux,sabroso,pikantní,Bohnenkraut,pikantny
scallops,coquilles Saint-Jacques,vieiras,hřebenatky,Jakobsmuscheln,przegrzebki
scrambled,brouillé,revuelto,míchaná,Rührei,jajecznica
seaweed,algues,algas,mořské řasy,Seegras,wodorosty
seeds,semences,semillas,semena,Samen,nasiona
sesame seed,graines de sésame,semilla de sésamo,sezamové semínko,Sesamsamen,nasiona sezamu
shallots,échalotes,chalotas,šalotka,Schalotten,szalotki
sherbet,sorbet,sorbete,šerbet,Brausepulver,sorbet
shish kebab,shish kebab,brocheta,šiš kebab,Schaschlikkebab,szaszłyk
shrimp,crevette,gambas,krevety,Krabben,krewetka
slaw,salade,ensalada de repollo,slaw,Krautsalat,slaw
slice,tranche,corte,plátek,slice,plasterek
smoked,fumé,ahumado,uzené,geräuchert,wędzony
snack,collation,merienda,svačina,Snack,przekąska
soda,soda,soda,soda,Soda,soda
soda bread,pain au soda,pan de soda,chléb se sodou,Sodabrot,chleb sodowy
sole,semelle,solo,pouze,allein,podeszwa
sorbet,sorbet,sorbete,sorbet,Sorbet,sorbet
sorghum,sorgho,sorgo,čirok,Sorghum,sorgo
sorrel,oseille,acedera,šťovík,Sauerampfer,szczaw
soup,soupe,sopa,polévka,Suppe,zupa
sour,aigre,agrio,kyselé,sauer,kwaśny
sour cream,crème fraîche,nata agria,zakysaná smetana,saure Sahne,kwaśna śmietana
soy,soja,soja,sója,Soja,soja
soy sauce,sauce soja,salsa de soja,sójová omáčka,Sojasauce,sos sojowy
soybeans,soja,soja,sójové boby,Sojabohnen,soja
spaghetti,spaghetti,espaguetis,špagety,Spaghetti,spaghetti
spareribs,spareribs,costillas,spareribs,spareribs,żeberka
spatula,spatule,espátula,špachtle,Spatel,szpatułka
spices,épices,especias,koření,Gewürze,przyprawy
spicy,épicé,picante,pikantní,würzig,pikantny
spinach,épinards,espinacas,špenát,Spinat,szpinak
split peas,pois cassés,guisantes partidos,dělený hrách,Spalterbsen,groch łuskany
spoon,cuillère,cuchara,lžíce,Löffel,łyżka
spork,fourchette,spork,spork,Spork,widelec
sprinkles,saupoudrages,sprinkles,posypy,Streuartikel,posypki
sprouts,germes,brotes,klíčky,Sprossen,kiełki
spuds,patates douces,patatas,spuds,Spuds,kiełki
squash,courge,calabaza,squash,Squash,squash
squid,calmar,calamar,chobotnice,Tintenfisch,kałamarnica
