EN,FR,ES,CS,DE,PL
Swiss chard,Bette à carde,Acelgas,Švýcarský mangold,Mangold,Boćwina szwajcarska
taro,taro,taro,taro,Taro,taro
tomatillo,tomate,tomatillo,tomatillo,Tomatillo,tomatillo
tomato,tomate,tomate,rajče,Tomate,pomidor
tuber,tubercule,tubérculo,hlízy,Knolle,bulwa
turnip,navet,nabo,tuřín,Rübe,rzepa
vegetable,légume,verduras,zelenina,Gemüse,warzywo
wasabi,wasabi,wasabi,wasabi,Wasabi,wasabi
water chestnut,châtaigne d'eau,castaña de agua,vodní kaštan,Wasserkastanie,kasztan wodny
watercress,cresson de fontaine,berros,řeřicha,Brunnenkresse,rukiew wodna
yam,igname,ñame,yam,Süßkartoffel,ignam
zucchini,courgettes,calabacín,cuketa,Zucchini,cukinia
