EN,FR,ES,CS,DE,PL
ex husband,ex-mari,ex marido,bývalý manžel,Ex-Ehemann,były mąż
ex wife,ex-femme,ex esposa,bývalá manželka,Ex-Frau,była żona
extended family,famille élargie,familia ampliada,rozšířená rodina,Großfamilie,rozszerzona rodzina
faithful,fidèle,fiel,věrný,treu,wierny
family,famille,familia,rodina,Familie,rodzina
family tree,arbre généalogique,árbol genealógico,rodokmen,Stammbaum,drzewo genealogiczne
father,père,padre,otec,Vater,ojciec
father-in-law,beau-père,suegro,tchán,Schwiegervater,teść
fiancee,fiancée,prometida,snoubenka,Verlobte,narzeczony
first born,premier né,primogénito,prvorozený,Erstgeborener,pierworodny
first cousin,cousin germain,primo hermano,první bratranec,Cousin ersten Grades,pierwszy kuzyn
first cousin once removed,cousine germaine issue de germains,primo hermano,prvostupňový bratranec a sestřenice,Cousin ersten Grades,pierwszy kuzyn raz usunięty
flesh and blood,la chair et le sang,carne y hueso,tělo a krev,aus Fleisch und Blut,ciało i krew
folks,personnes,gente,lidé,Leute,ludzie
foster,favoriser,acoger,pěstounská péče,pflegen,zastępca
foster child,enfant en famille d'accueil,hijo acogido,pěstounské dítě,Pflegekind,dziecko zastępcze
foster father,père nourricier,padre adoptivo,pěstoun,Ziehvater,ojciec zastępczy
foster mother,mère nourricière,madre adoptiva,pěstounka,Pflegemutter,matka zastępcza
foster parent,parent d'accueil,padre de acogida,pěstoun,Ziehvater,rodzic zastępczy
fraternal,fraternel,fraternal,bratrské,geschwisterlich,braterski
fraternal twin,faux jumeau,gemelo fraterno,bratrské dvojče,zweieiiger Zwilling,bratni bliźniak
friend,ami,amigo,přítel,Freund,przyjaciel
genealogy,généalogie,genealogía,genealogie,Genealogie,genealogia
grampa,grand-père,grampa,dědeček,Opa,dziadek
gramps,papy-boomer,gramps,gramps,Opa,gramy
grandchild,petit-enfant,nieto,vnouče,Enkelkind,wnuk
grandchildren,petits-enfants,nietos,vnoučata,Enkelkinder,wnuki
granddaughter,petite-fille,nieta,vnučka,Enkelin,wnuczka
grandfather,grand-père,abuelo,dědeček,Großvater,dziadek
grandma,grand-mère,abuela,babička,Oma,babcia
grandmother,grand-mère,abuela,babička,Großmutter,babcia
grandpa,grand-père,abuelo,dědeček,Opa,dziadek
grandparent,grand-parent,abuelo,prarodiče,Großeltern,dziadek
grandson,petit-fils,nieto,vnuk,Enkel,wnuk
granny,mamie,abuelita,babička,Oma,babcia
great-aunt,grand-tante,tía abuela,prateta,Großtante,ciotka
great-granddaughter,arrière-petite-fille,bisnieta,pravnučka,Urenkelin,prawnuczka
great-grandfather,arrière-grand-père,bisabuelo,pradědeček,Urgroßvater,pradziadek
great-grandmother,arrière-grand-mère,bisabuela,prababička,Urgroßmutter,prababcia
great-grandparent,arrière-grand-parent,bisabuelo,praprarodiče,Urgroßeltern,pradziadek
great-grandson,arrière-petit-fils,bisnieto,pravnuk,Urenkel,prawnuk
great-uncle,grand-oncle,tío abuelo,prastrýc,Großonkel,wujek
groom,marié(e),novio,ženich,Bräutigam,pan młody
grownup,adulte,adulto,dospělé,Erwachsener,dorosły
half-brother,demi-frère,hermanastro,nevlastní bratr,Halbbruder,przyrodni brat
half-sister,demi-sœur,media hermana,nevlastní sestra,Halbschwester,przyrodnia siostra
heir,héritier,heredero,dědic,Erbe,spadkobierca
heiress,héritière,heredera,dědička,Erbin,dziedziczka
helpmate,compagnon d'infortune,helpmate,pomocník,Helferin,helpmate
hereditary,héréditaire,hereditario,dědičné,Vererbung,dziedziczny
heritage,patrimoine,patrimonio,dědictví,Erbe,dziedzictwo
history,l'histoire,historia,historie,Geschichte,historia
home,domicile,Inicio,home,Startseite,dom
household,ménage,hogar,domácnost,Haushalt,gospodarstwo domowe
husband,mari,marido,manžel,Ehemann,mąż
identical twin,jumeau identique,gemelo idéntico,identické dvojče,eineiiger Zwilling,identyczny bliźniak
in-law,belle-famille,en-ley,tchán a tchyně,Schwiegereltern,teściowa
infancy,petite enfance,infancia,dětství,Säuglingsalter,niemowlęctwo
infant,nourrisson,bebé,kojenec,Kleinkind,niemowlę
inherit,hériter,heredar,zdědit,erben,dziedziczyć
inheritance,l'héritage,herencia,dědictví,Vererbung,spadek
juvenile,juvénile,juvenil,mladiství,jugendlich,nieletni
kin,kin,kin,příbuzní,Verwandtschaft,krewny
kindred,apparenté,afín,spřízněné,Verwandtschaft,pokrewny
kinfolk,famille,kinfolk,kinfolk,Verwandtschaft,krewni
kinship,parenté,parentesco,příbuzenské vztahy,Verwandtschaft,pokrewieństwo
kith,kith,kith,kith,kith,kith
lineage,lignée,linaje,rodokmen,Abstammung,rodowód
love,amour,amor,láska,Liebe,miłość
loyalty,loyauté,lealtad,loajalita,Loyalität,lojalność
ma,ma,ma,ma,ma,ma
maiden name,nom de jeune fille,nombre de soltera,dívčí jméno,Mädchenname,nazwisko panieńskie
mama,maman,mama,maminka,Mama,mama
marriage,mariage,matrimonio,manželství,Ehe,małżeństwo
mate,compagnon,mate,kamarád,Kumpel,kolega
maternal,maternelle,materna,mateřský,mütterlicherseits,macierzyński
matriarch,matriarche,matriarca,matriarcha,Matriarchin,matriarcha
matrimony,mariage,matrimonio,manželství,Eheschließung,małżeństwo
minor,mineur,menor,menší,geringfügig,nieletni
Miss,Mademoiselle,Srta.,Slečna,Fräulein,Panna
mom,maman,mamá,maminka,Mutter,mama
mommy,maman,mamá,maminka,Mutti,mama
monogamy,monogamie,monogamia,monogamie,Monogamie,monogamia
mother,mère,madre,matka,Mutter,matka
mother-in-law,belle-mère,suegra,tchyně,Schwiegermutter,teściowa
Mr.,M.,Sr.,Pan.,Herr,Pan.
Mrs.,Mme.,Sra.,Paní,Frau,Pani.
Ms.,Mme.,Sra.,Paní,Frau,Pani.
nana,nana,nana,nana,Oma,nana
natal,natal,natal,natální,Geburtsort,urodzeniowy
nephew,neveu,sobrino,synovec,Neffe,siostrzeniec
nest,nid,nido,hnízdo,Nest,gniazdo
newlywed,jeunes mariés,recién casados,novomanželé,frisch verheiratet,nowożeńcy
niece,nièce,sobrina,neteř,Nichte,siostrzenica
nuclear family,famille nucléaire,familia nuclear,nukleární rodina,Kernfamilie,rodzina nuklearna
nuptial,nuptial,nupcial,svatební,Hochzeitsfeier,zaślubiny
nurture,nourrir,nutrir,vychovávat,nähren,pielęgnacja
offspring,progéniture,descendencia,potomci,Nachkommenschaft,potomstwo
orphan,orphelin,huérfano,sirotek,verwaist,sierota
pa,pa,pa,pa,pa,pa
papa,papa,papa,papa,papa,papa
parent,parent,padre,rodič,Elternteil,rodzic
partner,partenaire,socio,partner,Partner,partner
paternal,paternel,paterna,otcovský,väterlicherseits,ojcowski
patriarch,patriarche,patriarca,patriarcha,Patriarch,patriarcha
pop,pop,pop,pop,pop,pop
posterity,postérité,posteridad,potomstvo,Nachwelt,potomność
progenitor,progéniteur,progenitor,progenitor,Vorläufer,progenitor
progeny,descendance,progenie,potomstvo,Nachkommenschaft,potomstwo
quadruplets,quadruplés,cuatrillizos,čtyřčata,Vierlinge,czworaczki
quads,quads,quads,čtyřkolky,Quads,quady
quints,quintes,pizcas,quints,Quinten,kwinty
quintuplets,quintuplés,quintillizos,paterčata,Fünflinge,pięcioraczki
related,apparenté,relacionado,související,zugehörige,powiązany
relations,relations,relaciones,vztahy,Beziehungen,relacje
relative,relatif,relativa,relativní,relativ,względny
second cousin,cousin germain,primo segundo,druhý bratranec,Cousin zweiten Grades,drugi kuzyn
senior,senior,senior,senior,Senior,senior
separation,séparation,separación,oddělení,Trennung,separacja
sibling,frère ou sœur,hermano,sourozenci,Geschwisterkind,rodzeństwo
single,unique,solo,jediný,einzeln,pojedynczy
sister,sœur,hermana,sestra,Schwester,siostra
sister-in-law,belle-sœur,cuñada,švagrová,Schwägerin,szwagierka
sisterhood,sororité,hermandad,sesterství,Schwesternschaft,siostrzeństwo
sisterly,fraternel,hermana,sesterské,schwesterlich,siostrzany
son,fils,hijo,syn,Sohn,syn
son-in-law,gendre,yerno,zeť,Schwiegersohn,zięć
spouse,conjoint,cónyuge,manželé,Ehepartner,małżonek
stepbrother,demi-frère,hermanastro,nevlastní bratr,Stiefbruder,przyrodni brat
stepchild,beau-fils,hijastro,nevlastní dítě,Stiefkind,pasierb
stepchildren,beaux-enfants,hijastros,nevlastní děti,Stiefkinder,pasierbowie
stepdad,beau-père,padrastro,nevlastní otec,Stiefvater,ojczym
stepdaughter,belle-fille,hijastra,nevlastní dcera,Stieftochter,pasierbica
stepfather,beau-père,padrastro,nevlastní otec,Stiefvater,ojczym
stepmom,belle-mère,madrastra,macecha,Stiefmutter,macocha
stepmother,belle-mère,madrastra,macecha,Stiefmutter,macocha
stepsister,demi-sœur,hermanastra,nevlastní sestra,Stiefschwester,przyrodnia siostra
stepson,beau-fils,hijastro,nevlastní syn,Stiefsohn,pasierb
support,soutien,soporte,podpora,Unterstützung,wsparcie
surrogate mother,mère porteuse,madre de alquiler,náhradní matka,Leihmutter,matka zastępcza
tribe,tribu,tribu,kmen,Stamm,plemię
triplets,triplés,trillizos,trojčata,Drillinge,trojaczki
trust,confiance,confíe en,trust,Vertrauen,zaufanie
trustworthy,digne de confiance,de confianza,důvěryhodné,vertrauenswürdig,godny zaufania
twin brother,frère jumeau,hermano gemelo,dvojče,Zwillingsbruder,brat bliźniak
twin sister,sœur jumelle,hermana gemela,sestra dvojče,Zwillingsschwester,siostra bliźniaczka
twins,jumeaux,gemelos,dvojčata,Zwillinge,bliźnięta
uncle,oncle,tío,strýc,Onkel,wujek
value,valeur,valor,hodnota,Wert,wartość
wed,mariage,wed,wed,Hochzeit,ślub
wedding,mariage,boda,svatba,Hochzeit,ślub
wedlock,mariage,matrimonio,manželství,Eheschließung,ślub
wife,épouse,esposa,manželka,Frau,żona
youngster,jeune,joven,youngster,.,młodzik
youth,la jeunesse,jóvenes,mládež,Jugend,młodzież
