EN,FR,ES,CS,DE,PL
gladiolus,glaïeul,gladiolo,gladiolus,Gladiole,mieczyk
goldenrod,verge d'or,vara de oro,goldenrod,Goldrute,nawłoć
hawthorn,aubépine,espino,hloh,Weißdorn,głóg
heather,bruyère,brezo,heather,Heidekraut,wrzos
hibiscus,hibiscus,hibisco,ibišek,Hibiskus,hibiskus
hollyhock,rose trémière,malvarrosa,hollyhock,Stockrose,malwa
honeysuckle,chèvrefeuille,madreselva,zimolez,Geißblatt,wiciokrzew
hydrangea,hortensia,hortensia,hortenzie,Hortensien,hortensja
Indian blanket,Couverture indienne,Manta india,Indiánská přikrývka,Indianerdecke,Indyjski koc
iris,iris,iris,iris,iris,tęczówka
jasmine,jasmin,jazmín,jasmín,jasmin,jaśmin
jessamine,jessamine,jessamine,jessamine,jessamine,jessamine
Johnny-jump-up,Johnny-jump-up,Johnny-jump-up,Johnny-jump-up,Johnny-Jump-up,Johnny-jump-up
jonquil,jonquille,junquillo,jonquil,jonquil,jonquil
kangaroo paw,patte de kangourou,pata de canguro,klokaní tlapa,Kängurupfote,łapa kangura
lady's slipper,chausson de dame,zapatilla de dama,dámský střevíček,Frauenschuh,pantofel damski
lantana,lantane,lantana,lantana,Lantana,lantana
larkspur,pied-de-lièvre,espuela de caballero,larkspur,Rittersporn,ostróżka
laurel,laurier,laurel,vavřín,Lorbeer,laur
lavender,lavande,lavanda,levandule,lavendel,lawenda
lilac,lilas,lila,lila,fliederfarben,liliowy
lily,lys,lirio,lily,Lilie,lilia
lily-of-the-valley,muguet,lirio del valle,lily-of-the-valley,Maiglöckchen,lilia doliny
magnolia,magnolia,magnolia,magnólie,Magnolie,magnolia
mallow,mauve,malva,sléz,Malve,malwa
marigold,Souci,caléndula,měsíček lékařský,Ringelblume,nagietek
mayflower,fleur de mai,mayflower,mayflower,Mayflower,mayflower
mimosa,mimosa,mimosa,mimosa,Mimose,mimoza
mistletoe,gui,muérdago,jmelí,Mistelzweig,jemioła
mock orange,simili-orange,naranja simulada,falešná oranžová,Scheinorange,udawana pomarańcza
morning glory,gloire matinale,gloria de la mañana,ranní sláva,Morgenlatte,poranna chwała
mountain laurel,laurier de montagne,laurel de montaña,horský vavřín,Berglorbeer,laur górski
myrtle,myrte,mirto,myrta,Myrte,mirt
narcissus,narcisse,narciso,narcis,Narzisse,narcyz
nasturtium,capucine,capuchina,nasturtium,Kapuzinerkresse,nasturcja
oleander,laurier-rose,adelfa,oleandr,Oleander,oleander
orange blossom,fleur d'oranger,azahar,pomerančový květ,Orangenblüte,kwiat pomarańczy
orchid,orchidée,orquídea,orchidej,Orchidee,orchidea
pansy,pensée,pensamiento,macešky,Stiefmütterchen,bratek
pasque flower,fleur de pasque,flor de pascua,květ paseky,Wiesenschaumkraut,kwiat sasanki
passionflower,passiflore,pasiflora,passionflower,Passionsblume,passionflower
peach blossom,fleur de pêcher,flor de melocotón,broskvový květ,Pfirsichblüte,kwiat brzoskwini
peony,pivoine,peonía,pivoňka,Pfingstrose,piwonia
petal,pétale,pétalo,okvětní lístek,Blütenblatt,płatek
phlox,phlox,phlox,flox,Phlox,floks
plumeria,plumeria,plumeria,plumérie,Plumeria,plumeria
poinsettia,poinsettia,poinsettia,poinsettia,Weihnachtsstern,poinsecja
poppy,coquelicot,amapola,mák,Mohn,mak
primrose,primevère,prímula,primrose,Primel,pierwiosnek
pussy willow,saule à feuilles étroites,sauce chocho,vrba kočičí,Weidenkätzchen,wierzba cipka
Queen Anne's lace,Dentelle de la reine Anne,Encaje de la Reina Ana,Krajka královny Anny,Queen-Anne's-Spitze,Koronka królowej Anny
ranunculus,renoncule,ranúnculos,ranunculus,Ranunkel,jaskier
rhododendron,rhododendron,rododendro,rododendron,rhododendron,rododendron
rose,rose,rosa,rose,Rose,róża
safflower,carthame,cártamo,světlice barvířská,Färberdistel,krokosz barwierski
sego lily,sego lily,sego lily,sego lily,Segellilie,sego lily
sepal,sépale,sépalo,sepal,Kelchblatt,sepal
snapdragon,muflier,snapdragon,snapdragon,Snapdragon,lwia paszcza
stock,stock,stock,zásoby,Aktie,zapas
sunflower,tournesol,girasol,slunečnice,Sonnenblume,słonecznik
sweet pea,pois de senteur,guisante de olor,sladký hrášek,Zuckererbse,słodki groszek
thistle,chardon,cardo,bodlák,Distel,oset
tickseed,tique,garrapata,tickseed,Zeckensamen,tickseed
tiger lily,lys tigré,lirio tigre,tygří lilie,Tigerlilie,lilia tygrysia
trillium,trille,trillium,trillium,Trillium,trillium
tulip,tulipe,tulipán,tulipán,Tulpe,tulipan
Venus flytrap,Piège à mouches de Vénus,Venus atrapamoscas,Mucholapka venušina,Venusfliegenfalle,Muchołówka
veronica,veronica,veronica,veronica,veronica,Weronika
vetch,vesce,veza,vikev,Wicke,wyka
violet,violet,violeta,fialová,violett,fiolet
wallflower,fleur de muraille,alhelí,wallflower,Mauerblümchen,wallflower
wild prairie rose,rose sauvage des prairies,rosa silvestre de la pradera,divoká prérijní růže,Präriewurzel,dzika róża preriowa
wildflowers,fleurs sauvages,flores silvestres,divoké květiny,Wildblumen,dzikie kwiaty
wisteria,glycine,glicinas,vistárie,Glyzinie,glicynia
wolfsbane,aconit,acónito,wolfsbane,Eisenhut,wilcza zmora
yucca flower,fleur de yucca,flor de yuca,květ juky,Yucca-Blüte,kwiat juki
zinnia,zinnia,zinnia,zinnia,Zinnie,cynia
