EN,FR,ES,CS,DE,PL
output,sortie,salida,výstup,Ausgabe,wyjście
page,page,página,stránka,Seite,strona
password,mot de passe,contraseña,heslo,Passwort,hasło
paste,pâte,pegar,vložit,einfügen,pasta
path,chemin,ruta,cesta,Pfad,ścieżka
phishing,hameçonnage,phishing,phishing,Phishing,phishing
piracy,piraterie,piratería,pirátství,Raubkopien,piractwo
pirate,pirate,pirata,pirát,Pirat,pirat
platform,plateforme,plataforma,platforma,Plattform,platforma
plug-in,plug-in,enchufe,plug-in,Steckbar,wtyczka
podcast,podcast,podcast,podcast,podcast,podcast
pop-up,pop-up,emergente,pop-up,Pop-up,pop-up
portal,portail,portal,portál,Portal,portal
print,imprimer,imprimir,tisk,drucken,druk
printer,Imprimante,impresora,tiskárna,Drucker,drukarka
privacy,vie privée,privacidad,ochrana osobních údajů,Datenschutz,prywatność
process,processus,proceso,proces,Prozess,proces
program,programme,programa,program,Programm,program
programmer,programmeur,programador,programátor,Programmierer,programista
protocol,protocole,protocolo,protokol,Protokoll,protokół
queue,file d'attente,cola,fronta,Warteschlange,kolejka
QWERTY,QWERTY,QWERTY,QWERTY,QWERTY,QWERTY
RAM (random access memory),RAM (mémoire vive),RAM (memoria de acceso aleatorio),Paměť RAM (paměť s náhodným přístupem),RAM (Speicher mit wahlfreiem Zugriff),RAM (pamięć o dostępie swobodnym)
real-time,en temps réel,en tiempo real,v reálném čase,Echtzeit,czas rzeczywisty
reboot,redémarrage,reiniciar,restart,Neustart,restart
resolution,résolution,resolución,usnesení,Entschließung,rozdzielczość
restore,restaurer,restaurar,obnovit,wiederherstellen,przywrócenie
ROM (read only memory),ROM (read only memory),ROM (memoria de sólo lectura),ROM (paměť pouze pro čtení),ROM (Festwertspeicher),ROM (pamięć tylko do odczytu)
root,racine,raíz,root,Wurzel,korzeń
router,routeur,enrutador,směrovač,Router,router
runtime,durée d'exécution,tiempo de ejecución,runtime,Laufzeit,runtime
save,sauver,guardar,uložit,speichern,oszczędzać
scan,scanner,escanear,skenování,scannen.,skan
scanner,scanner,escáner,skener,Scanner,skaner
screen,écran,pantalla,obrazovka,Bildschirm,ekran
screenshot,capture d'écran,captura de pantalla,snímek obrazovky,Bildschirmfoto,zrzut ekranu
script,scénario,script,skript,Skript,scenariusz
scroll,défilement,desplazarse,rolovat,Blättern Sie,zwój
scroll bar,barre de défilement,barra de desplazamiento,posuvník,Bildlaufleiste,pasek przewijania
search engine,moteur de recherche,buscador,vyhledávač,Suchmaschine,wyszukiwarka
security,sécurité,seguridad,zabezpečení,Sicherheit,bezpieczeństwo
server,serveur,servidor,server,Server,serwer
shareware,partagiciel,shareware,shareware,Shareware,shareware
shell,coquille,concha,shell,Shell,powłoka
shift,changement,turno,posun,Schicht,zmiana
shift key,touche majuscule,tecla de mayúsculas,klávesa Shift,Umschalttaste,klawisz shift
snapshot,instantané,instantánea,snímek,Schnappschuss,migawka
social networking,réseaux sociaux,redes sociales,sociální sítě,soziale Vernetzung,sieci społecznościowe
software,logiciel,software,software,Software,oprogramowanie
spam,spam,spam,spam,Spam,spam
spammer,spammeur,spammer,spammer,Spammer,spamer
spreadsheet,Feuille de calcul,hoja de cálculo,tabulka,Tabellenkalkulation,arkusz kalkulacyjny
spyware,logiciel espion,spyware,spyware,Spyware,spyware
status bar,barre d'état,barra de estado,stavový řádek,Statusleiste,pasek stanu
storage,stockage,almacenamiento,skladování,Lagerung,przechowywanie
supercomputer,superordinateur,superordenador,superpočítač,Supercomputer,superkomputer
surf,surf,surf,surfování,surfen,surfować
syntax,syntaxe,sintaxis,syntaxe,Syntax,składnia
table,table,tabla,tabulka,Tabelle,tabela
tag,étiquette,etiqueta,tag,Tag,tag
template,modèle,plantilla,šablona,Vorlage,szablon
terabyte,téraoctet,terabyte,terabajt,Terabyte,terabajt
terminal,terminal,terminal,terminál,Terminal,terminal
text editor,éditeur de texte,editor de texto,textový editor,Texteditor,edytor tekstu
thread,fil,hilo,vlákno,Gewinde,wątek
toolbar,barre d'outils,barra de herramientas,panel nástrojů,Symbolleiste,pasek narzędzi
trash,poubelle,basura,odpadky,Müll,śmieci
Trojan horse,Cheval de Troie,Caballo de Troya,Trojský kůň,Trojanisches Pferd,Koń trojański
typeface,police de caractères,tipo de letra,písmo,Schriftart,krój pisma
undo,annuler,deshacer,zrušit,rückgängig machen,cofnąć
Unix,Unix,Unix,Unix,Unix,Unix
upload,télécharger,cargar,nahrát,hochladen,przesyłanie
URL,URL,URL,ADRESA URL,URL,URL
user,utilisateur,usuario,uživatel,Benutzer,użytkownik
user interface,interface utilisateur,interfaz de usuario,uživatelské rozhraní,Benutzeroberfläche,interfejs użytkownika
username,Nom d'utilisateur,nombre de usuario,uživatelské jméno,Nutzername,nazwa użytkownika
utility,service public,utilidad,utility,Dienstprogramm,użyteczność
version,version,versión,verze,Version,wersja
virtual,virtuel,virtual,virtuální,virtuell,wirtualny
virtual memory,mémoire virtuelle,memoria virtual,virtuální paměť,virtueller Speicher,pamięć wirtualna
virus,virus,virus,virus,Virus,wirus
web,web,web,web,Web,sieć
web host,hébergeur web,alojamiento web,webový hostitel,Web-Host,hosting
webmaster,webmaster,webmaster,webmaster,webmaster,webmaster
website,site web,sitio web,webové stránky,Website,strona internetowa
widget,widget,widget,widget,Widget,widżet
wiki,wiki,wiki,wiki,wiki,wiki
window,fenêtre,ventana,okno,Fenster,okno
Windows,Fenêtres,Windows,Windows,Windows,Windows
wireless,sans fil,inalámbrico,bezdrátové připojení,drahtlos,bezprzewodowy
word processor,traitement de texte,procesador de textos,textový procesor,Textverarbeitungsprogramm,edytor tekstu
workstation,poste de travail,estación de trabajo,pracovní stanice,Arbeitsplatz,stacja robocza
World Wide Web,World Wide Web,World Wide Web,World Wide Web,World Wide Web,World Wide Web
worm,ver,gusano,červ,Wurm,robak
WWW,WWW,WWW,WWW,WWW,WWW
XML,XML,XML,XML,XML,XML
zip,fermeture éclair,zip,zip,zip,zamek błyskawiczny
