EN,FR,ES,CS,DE,PL
camouflage,camouflage,camuflaje,kamufláž,Tarnung,kamuflaż
cap,capuchon,tapa,uzávěr,Kappe,czapka
cap and gown,bonnet et toge,toga y birrete,čepice a talár,Talar und Hut,czapka i toga
cape,cape,cabo,mys,cape,peleryna
capris,capris,capris,capris,Capris,capris
cardigan,gilet,cárdigan,svetr,Strickjacke,kardigan
chemise,chemise,chemise,chemise,Hemd,koszulka
cloak,cape,capa,plášť,Umhang,peleryna
clogs,sabots,zuecos,dřeváky,Clogs,chodaki
clothes,vêtements,ropa,oblečení,Kleidung,ubrania
clothing,vêtements,ropa,oblečení,Kleidung,odzież
coat,manteau,abrigo,kabát,Mantel,płaszcz
collar,collier,cuello,límec,Kragen,kołnierz
corset,corset,corsé,korzet,Korsett,gorset
costume,costume,disfraz,kostým,Kostüm,kostium
coveralls,combinaisons,monos,kombinézy,Schutzanzüge,kombinezony
cowboy boots,bottes de cow-boy,botas vaqueras,kovbojské boty,Cowboystiefel,buty kowbojskie
cowboy hat,chapeau de cow-boy,sombrero de vaquero,kovbojský klobouk,Cowboyhut,kapelusz kowbojski
cravat,cravate,corbata,kravata,Krawatte,cravat
crown,couronne,corona,koruna,Krone,korona
cuff,manchette,manguito,manžeta,Manschette,mankiet
cuff links,boutons de manchette,gemelos,manžetové knoflíčky,Manschettenknöpfe,spinki do mankietów
culottes,jupes-culottes,culottes,culottes,Culottes,kuloty
cummerbund,pantalon de bain,faja,cummerbund,Kummerbund,cummerbund
dashiki,dashiki,dashiki,dashiki,Dashiki,dashiki
diaper,couche,pañal,plenky,Windel,pielucha
dinner jacket,veste de soirée,smoking,večeřové sako,Smoking,kurtka obiadowa
dirndl,dirndl,dirndl,dirndl,Dirndl,dirndl
drawers,tiroirs,cajones,zásuvky,Schubladen,szuflady
dress,robe,vestido,šaty,Kleid,sukienka
dress shirt,chemise habillée,camisa de vestir,košile,Oberhemd,koszula
duds,ratés,duds,duds,Blindgänger,niewypały
dungarees,salopette,petos,dungarees,Latzhosen,ogrodniczki
earmuffs,protège-oreilles,orejeras,chrániče sluchu,Gehörschutz,nauszniki
earrings,boucles d'oreilles,pendientes,náušnice,Ohrringe,kolczyki
elastic,élastique,elástico,elastické,elastisch,elastyczny
evening gown,robe de soirée,vestido de noche,večerní šaty,Abendgarderobe,suknia wieczorowa
fashion,la mode,moda,móda,Mode,moda
fatigues,treillis,fatigas,fatigues,Ermüdungserscheinungen,zmęczenie
fedora,fedora,fedora,fedora,fedora,fedora
fez,fez,fez,fez,fez,fez
flak jacket,gilet pare-balles,chaleco antibalas,neprůstřelná vesta,Splitterschutzweste,kamizelka kuloodporna
flannel nightgown,chemise de nuit en flanelle,camisón de franela,flanelová noční košile,Flanell-Nachthemd,flanelowa koszula nocna
flannel shirt,chemise en flanelle,camisa de franela,flanelová košile,Flanellhemd,koszula flanelowa
flip-flops,tongs,chanclas,žabky,flip-flops,klapki
formal wear,vêtements de cérémonie,traje formal,společenské oblečení,formelle Kleidung,odzież wizytowa
frock,robe,frock,šaty,Kutte,surdut
fur,fourrure,piel,kožešina,Pelz,futro
fur coat,manteau de fourrure,abrigo de piel,kožich,Pelzmantel,futro
gabardine,gabardine,gabardina,gabardén,Gabardine,gabardyna
gaiters,guêtres,polainas,kamaše,Gamaschen,getry
galoshes,galoches,galochas,galoše,Galoschen,kalosze
garb,garb,ropa,oděv,Gewand,strój
garment,vêtement,prenda,oděv,Kleidungsstück,odzież
garters,jarretières,ligas,podvazky,Strumpfbänder,podwiązki
gear,engrenage,engranaje,převodovka,Getriebe,sprzęt
getup,se lever,subir,getup,getup,getup
gilet,gilet,chaleco,vesta,Gilet,kamizelka
girdle,gaine,faja,opasek,Hüftgürtel,pas
glasses,lunettes,gafas,brýle,Brille,okulary
gloves,gants,guantes,rukavice,Handschuhe,rękawice
gown,blouse,bata,šaty,Robe,suknia
halter top,dos nu,top sin mangas,top s ohlávkou,Neckholder-Top,halter top
handbag,sac à main,bolso,kabelka,Handtasche,torebka
handkerchief,mouchoir,pañuelo,kapesník,Taschentuch,chusteczka
hat,chapeau,sombrero,klobouk,Hut,kapelusz
Hawaiian shirt,Chemise hawaïenne,Camisa hawaiana,Havajská košile,Hawaii-Hemd,Hawajska koszula
hazmat suit,combinaison de protection,traje para materiales peligrosos,oblek proti nebezpečným látkám,Schutzanzug,kombinezon hazmat
headscarf,foulard,pañuelo,šátek na hlavu,Kopftuch,chusta
helmet,casque,casco,přilba,Helm,kask
hem,ourlet,dobladillo,lem,Saum,rąbek
high heels,talons hauts,tacones altos,vysoké podpatky,Stöckelschuhe,wysokie obcasy
hoodie,sweat à capuche,sudadera,mikina s kapucí,Kapuzenpulli,bluza
hook and eye,crochet et oeil,gancho y ojo,háček a očko,Haken und Öse,haczyk i oczko
hose,tuyau,manguera,hadice,Schlauch,wąż
hosiery,bonneterie,calcetería,punčochové zboží,Strumpfwaren,wyroby pończosznicze
hospital gown,blouse d'hôpital,bata de hospital,nemocniční plášť,Krankenhauskittel,fartuch szpitalny
houndstooth,pied-de-poule,pata de gallo,houndstooth,Hahnentritt,pepitka
housecoat,robe de chambre,bata de casa,houseecoat,Hausmantel,fartuch
jacket,veste,chaqueta,bunda,Jacke,kurtka
jeans,jeans,vaqueros,džíny,Jeans,dżinsy
jersey,maillot,jersey,dres,Trikot,koszulka
jewelry,bijoux,joyería,šperky,Schmuck,biżuteria
jodhpurs,jodhpurs,pantalones de montar,jodhpurs,Jodhpurhose,jodhpurs
jumper,sauteur,puente,jumper,Jumper,skoczek
jumpsuit,combinaison,mono,kombinéza,Jumpsuit,kombinezon
kerchief,fichu,pañuelo,šátek,Kopftuch,chustka
khakis,kakis,caquis,khaki,Khakis,khaki
kilt,kilt,falda escocesa,kilt,Kilt,kilt
kimono,kimono,kimono,kimono,Kimono,kimono
kit,kit,kit,sada,Bausatz,zestaw
knickers,culotte,bragas,kalhotky,Schlüpfer,majtki
lab coat,blouse de laboratoire,bata de laboratorio,laboratorní plášť,Laborkittel,fartuch laboratoryjny
lapel,revers,solapa,klopa,Revers,klapa
leather jacket,veste en cuir,chaqueta de cuero,kožená bunda,Lederjacke,kurtka skórzana
leg warmers,jambières,calentadores,návleky na nohy,Beinwärmer,ocieplacze na nogi
leggings,jambières,polainas,legíny,Leggings,legginsy
leotard,justaucorps,leotardo,trikot,Trikot,trykot
life jacket,gilet de sauvetage,chaleco salvavidas,záchranná vesta,Schwimmweste,kamizelka ratunkowa
lingerie,lingerie,lencería,spodní prádlo,Unterwäsche,bielizna
loafers,mocassins,mocasines,mokasíny,Faulenzer,loafersy
loincloth,pagne,taparrabos,bederní rouška,Lendenschurz,przepaska biodrowa
long johns,long johns,long johns,long johns,lange Unterhosen,long johns
long underwear,sous-vêtements longs,ropa interior larga,dlouhé spodní prádlo,lange Unterwäsche,długa bielizna
miniskirt,minijupe,minifalda,minisukně,Minirock,minispódniczka
mittens,moufles,mitones,palčáky,Fäustlinge,rękawiczki
moccasins,mocassins,mocasines,mokasíny,Mokassins,mokasyny
muffler,silencieux,silenciador,tlumič výfuku,Schalldämpfer,tłumik
muumuu,muumuu,muumuu,muumuu,muumuu,muumuu
neckerchief,foulard,pañuelo,šátek na krk,Halstuch,apaszka
necklace,collier,collar,náhrdelník,Halskette,naszyjnik
nightgown,chemise de nuit,camisón,noční košile,Nachthemd,koszula nocna
nightshirt,chemise de nuit,camisón,noční košile,Nachthemd,koszula nocna
onesies,grenouillères,bodies,dupačky,Strampler,koszulki
outerwear,vêtements d'extérieur,prendas exteriores,svrchní oděvy,Oberbekleidung,odzież wierzchnia
outfit,tenue,atuendo,oblečení,Outfit,strój
overalls,salopettes,monos,kombinézy,Latzhose,kombinezony
overcoat,manteau,abrigo,kabát,Mantel,płaszcz
overshirt,surchemise,Sobrecamisa,overshirt,Überhemd,bluza
pajamas,pyjama,pijama,pyžamo,Pyjama,piżama
panama hat,chapeau panama,sombrero de panamá,panamský klobouk,Panamahut,kapelusz panama
pants,pantalon,pantalones,kalhoty,Hosen,spodnie
pantsuit,tailleur pantalon,traje pantalón,kalhotový kostým,Hosenanzug,kombinezon
pantyhose,collants,medias,punčocháče,Strumpfhosen,rajstopy
parka,parka,parka,parka,Parka,parka
pea coat,caban,chaquetón,hrachový kabát,Erbsenmantel,płaszcz w grochy
peplum,péplum,peplum,peplum,Schößchen,peplum
petticoat,jupon,enaguas,spodnička,Petticoat,halka
pinafore,chasuble,pichi,pinafore,Schürze,pinafore
pleat,plisser,plisado,záhyby,falten,plisa
pocket,poche,bolsillo,kapesní,Tasche,kieszeń
pocketbook,carnet de poche,libro de bolsillo,kapesní knížka,Taschenbuch,kieszonkowy
polo shirt,polo,camiseta polo,polokošile,Poloshirt,koszulka polo
poncho,poncho,poncho,pončo,Poncho,poncho
poodle skirt,jupe caniche,falda caniche,sukně z pudla,Pudelrock,spódnica pudel
pork pie hat,chapeau en forme de tarte au porc,sombrero de cerdo,klobouk s vepřovým koláčem,Schweinskopfmütze,czapka wieprzowa
pullover,pull-over,jersey,svetr,Pullover,sweter
pumps,pompes,bombas,čerpadla,Pumpen,pompy
purse,sac à main,monedero,kabelka,Geldbörse,torebka
raincoat,imperméable,impermeable,pláštěnka,Regenmantel,płaszcz przeciwdeszczowy
ring,anneau,anillo,kroužek,Ring,pierścień
robe,robe de chambre,albornoz,župan,Gewand,szata
rugby shirt,chemise de rugby,camiseta de rugby,ragbyové tričko,Rugbyhemd,koszulka rugby
sandals,sandales,sandalias,sandály,Sandalen,sandały
sari,sari,sari,sari,Sari,sari
sarong,sarong,pareo,sarong,Sarong,sarong
scarf,foulard,bufanda,šátek,Halstuch,szalik
school uniform,uniforme scolaire,uniforme escolar,školní uniforma,Schuluniform,mundurek szkolny
scrubs,gommages,uniformes,křoviny,Kittel,peelingi
shawl,châle,chal,šátek,Umschlagtuch,szal
sheath dress,robe fourreau,vestido tubo,pouzdrové šaty,Etuikleid,sukienka płaszczowa
shift,changement,turno,posun,Schicht,zmiana
shirt,chemise,camisa,košile,Hemd,koszulka
shoe,chaussure,zapato,boty,Schuh,but
shorts,short,pantalones cortos,šortky,Shorts,spodenki
shoulder pads,épaulettes,hombreras,ramenní vycpávky,Schulterpolster,naramienniki
shrug,hausser les épaules,encogerse de hombros,pokrčení ramen,Achselzucken,wzruszenie ramionami
singlet,singlet,singlete,singlet,singlet,singlet
skirt,jupe,falda,sukně,Rock,spódnica
slacks,pantalon,pantalones,kalhoty,Hosen,spodnie
slip,glisser,resbalón,skluz,Schlupf,poślizg
slippers,pantoufles,zapatillas,pantofle,Hausschuhe,kapcie
smock,blouse,bata,smoking,Kittel,fartuch
snaps,boutons-pression,broches,snaps,schnappt,zatrzaski
sneakers,baskets,zapatillas,tenisky,Turnschuhe,trampki
sock,chaussette,calcetín,ponožky,Socke,skarpeta
sombrero,sombrero,sombrero,sombrero,Sombrero,sombrero
spacesuit,combinaison spatiale,traje espacial,skafandr,Raumanzug,skafander kosmiczny
Stetson hat,Chapeau Stetson,Sombrero Stetson,Klobouk Stetson,Stetson-Hut,Kapelusz Stetson
stockings,bas,medias,punčochy,Strümpfe,pończochy
stole,vol,robó,ukradl,gestohlen,ukradł
suit,costume,traje,oblek,Anzug,garnitur
sun hat,chapeau de soleil,sombrero para el sol,sluneční klobouk,Sonnenhut,kapelusz przeciwsłoneczny
sunbonnet,bonnet de soleil,sunbonnet,sunbonnet,Sonnenhut,czapka przeciwsłoneczna
sundress,robe de soleil,vestido de verano,sluneční šaty,Sonntagskleid,sukienka
sunglasses,lunettes de soleil,gafas de sol,sluneční brýle,Sonnenbrille,okulary przeciwsłoneczne
suspenders,bretelles,tirantes,podvazky,Hosenträger,szelki
sweater,pull-over,jersey,svetr,Pullover,sweter
sweatpants,pantalon de survêtement,pantalones de chándal,tepláky,Jogginghose,spodnie dresowe
sweatshirt,sweat-shirt,sudadera,mikina,Sweatshirt,bluza
sweatsuit,survêtement,sudadera,tepláková souprava,Sweatsuit,dres
swimsuit,maillot de bain,bañador,plavky,Badeanzug,strój kąpielowy
T-shirt,T-shirt,Camiseta,Tričko,T-shirt,Koszulka
tam,tam,tam,tam,tam,tam
tank top,débardeur,camiseta sin mangas,tílko,Tanktop,tank top
teddy,nounours,osito,Teddy,teddy,miś
threads,fils,hilos,vlákna,Gewinde,wątki
tiara,diadème,tiara,tiara,Tiara,tiara
tie,cravate,corbata,kravata,Krawatte,remis
tie clip,pince à cravate,alfiler de corbata,spona na kravatu,Krawattenspange,spinka do krawata
tights,collants,medias,punčocháče,Strumpfhosen,rajstopy
toga,toge,toga,toga,Toga,toga
togs,vêtements de sport,togs,oblečení,.,togi
top,sommet,top,top,top,top
top coat,couche de finition,capa final,vrchní vrstva,Deckschicht,top coat
top hat,chapeau haut de forme,sombrero de copa,vrchní klobouk,Zylinderhut,cylinder
train,train,tren,vlak,Zug,pociąg
trench coat,trench-coat,gabardina,trenčkot,Trenchcoat,trencz
trousers,pantalon,pantalones,kalhoty,Hose,spodnie
trunks,malles,troncos,kmeny,Stämme,pnie
tube top,haut tubulaire,top tubular,horní část trubky,Röhrenoberteil,tube top
tunic,tunique,túnica,tunika,Tunika,tunika
turban,turban,turbante,turban,Turban,turban
turtleneck,col roulé,cuello alto,rolák,Rollkragenpullover,golf
turtleneck shirt,chemise à col roulé,camisa de cuello alto,roláková košile,Rollkragenshirt,koszula z golfem
tutu,tutu,tutú,tutu,Tutu,tutu
tux,smoking,esmoquin,smoking,Smoking,smoking
tuxedo,smoking,esmoquin,smoking,Smoking,smoking
tweed jacket,veste en tweed,chaqueta de tweed,tvídové sako,Tweedjacke,tweedowa marynarka
twill,sergé,sarga,kepr,Twill,diagonalny
twin set,ensemble jumelé,juego de gemelos,sada pro dvojčata,Twinset,podwójny zestaw
umbrella,parapluie,paraguas,deštník,Regenschirm,parasol
underclothes,sous-vêtements,ropa interior,spodní prádlo,Unterwäsche,bielizna
undershirt,maillot de corps,camiseta interior,spodní tričko,Unterhemd,podkoszulek
underwear,sous-vêtements,ropa interior,spodní prádlo,Unterwäsche,bielizna
uniform,uniforme,uniforme,jednotný,einheitlich,mundur
veil,voile,velo,závoj,Schleier,zasłona
Velcro,Velcro,Velcro,Suchý zip,Klettverschluss,Rzep
vest,gilet,chaleco,vesta,Unterhemd,kamizelka
vestments,vêtements,vestimentas,hábity,Gewänder,szaty
visor,visière,visera,stínítko,Visier,wizjer
waders,cuissardes,vadeadores,brodítka,Wathosen,wodery
waistcoat,gilet,chaleco,vesta,Weste,kamizelka
wear,porter,desgaste,nosit,tragen,zużycie
wedding gown,robe de mariée,vestido de novia,svatební šaty,Hochzeitskleid,suknia ślubna
Wellingtons,Wellingtons,Wellingtons,Wellingtons,Gummistiefel,Kalosze
wetsuit,combinaison de plongée,traje de neopreno,skafandr,Neoprenanzug,pianka
white tie,cravate blanche,corbata blanca,bílá kravata,weiße Krawatte,biały krawat
wig,perruque,peluca,paruka,Perücke,peruka
windbreaker,coupe-vent,cortavientos,větrovka,Windbreaker,wiatrówka
woolens,lainages,lanas,vlny,Wolle,wełny
wrap,envelopper,envolver,zabalit,wickeln,owijka
yoke,joug,yugo,jařmo,Joch,jarzmo
zipper,fermeture éclair,cremallera,zip,Reißverschluss,zamek błyskawiczny
zoris,zoris,zoris,zoris,zoris,zoris
