word,FR,ES,CS,DE,PL
generous,généreux,generoso,velkorysý,großzügig,hojny
gentle,doux,suave,jemné,sanft,łagodny
gloomy,morose,sombrío,ponurý,düster,ponury
gluttonous,glouton,glotón,lakomý,gefräßig,żarłoczny
good,bon,bien,dobré,gut,dobry
grave,tombe,grave,hrob,Grab,grób
great,grand,gran,skvělé,großartig,świetny
groggy,groggy,groggy,groggy,groggy,groggy
grouchy,grognon,gruñón,mrzutý,mürrisch,marudny
guarded,gardé,vigilado,hlídané,bewacht,strzeżony
hateful,détestable,odioso,nenávistné,hasserfüllt,nienawistny
hearty,chaleureux,cordial,vydatné,herzhaft,serdeczny
helpful,utile,útil,užitečné,hilfreich,pomocny
hesitant,hésitant,vacilante,váhavý,zögerlich,niezdecydowany
hot-headed,tête brûlée,cabeza caliente,horká hlava,Hitzköpfig,gorąca głowa
hypercritical,hypercritique,hipercrítico,hyperkritický,überkritisch,hiperkrytyczny
hysterical,hystérique,histérica,hysterický,hysterisch,histeryczny
idiotic,idiot,idiota,idiotský,idiotisch,idiotyczny
idle,oisif,inactivo,nečinnost,Leerlauf,bezczynny
illogical,illogique,ilógico,nelogické,unlogisch,nielogiczny
imaginative,imaginatif,imaginativo,nápadité,einfallsreich,pomysłowy
immature,immature,inmaduro,nezralý,unreif,niedojrzały
immodest,impudique,inmodesto,neskromné,Unbescheiden,nieskromny
impatient,impatient,impaciente,netrpělivý,ungeduldig,niecierpliwy
imperturbable,imperturbable,imperturbable,neovlivnitelný,unerschütterlich,niewzruszony
impetuous,impétueux,impetuoso,impulzivní,ungestüm,porywczy
impractical,impraticable,poco práctico,nepraktické,unpraktisch,niepraktyczny
impressionable,impressionnable,impresionable,vnímavý,beeindruckbar,wrażliwy
impressive,impressionnant,impresionante,impozantní,beeindruckend,imponujący
impulsive,impulsif,impulsivo,impulzivní,impulsiv,impulsywny
inactive,inactif,inactivo,neaktivní,inaktiv,nieaktywny
incisive,incisif,incisivo,incisive,einschneidend,wyrazisty
incompetent,incompétent,incompetente,nekompetentní,inkompetent,niekompetentny
inconsiderate,inconsidéré,desconsiderado,bezohledný,rücksichtslos,nierozważny
inconsistent,incohérent,incoherente,nekonzistentní,inkonsistent,niespójny
indefatigable,infatigable,infatigable,neúnavný,unermüdlich,niestrudzony
independent,indépendant,independiente,nezávislé,unabhängig,niezależny
indiscreet,indiscret,indiscreto,indiskrétní,indiskret,niedyskretny
indolent,indolent,indolente,indolentní,indolent,leniwy
industrious,industrieux,trabajador,pracovitý,fleißig,pracowity
inexperienced,inexpérimenté,inexperto,nezkušený,unerfahrene,niedoświadczony
insensitive,insensible,insensible,necitlivé,unempfindlich,niewrażliwy
inspiring,inspirant,inspirador,inspirující,anregend,inspirujący
intelligent,intelligents,inteligente,inteligentní,intelligent,inteligentny
interesting,intéressant,interesante,zajímavé,interessant,interesujący
intolerant,intolérant,intolerante,netolerantní,intolerant,nietolerancyjny
inventive,inventif,inventivo,invenční,erfinderisch,pomysłowy
irascible,irascible,irascible,irascible,jähzornig,irascible
irritable,irritable,irritable,dráždivý,reizbar,drażliwy
irritating,irritant,irritante,dráždivé,Irritierend,irytujący
jocular,joculaire,jocular,žertovné,scherzhaft,żartobliwy
jovial,jovial,jovial,žoviální,jovial,jowialny
joyous,joyeux,alegre,radostný,freudig,radosny
judgmental,jugement,juicioso,soudný,Urteilsvermögen,osądzający
keen,enthousiaste,agudo,nadšený,scharfes,zapalony
kind,type,amable,druh,Art,rodzaj
lame,boiteux,cojo,lame,lahm,kiepski
lazy,paresseux,perezoso,líný,faul,leniwy
lean,maigre,lean,lean,mager,chudy
leery,lâche,leery,leery,misstrauisch,ostrożny
lethargic,léthargique,letárgico,letargický,lethargisch,ospały
level-headed,pondéré,cabeza sensata,na úrovni,mit klarem Verstand,zrównoważony
listless,apathique,lánguido,listless,lustlos,beznamiętny
lithe,lithe,lithe,lithe,lithe,lithe
lively,vif,animado,živé,lebendig,żywy
local,local,local,místní,lokal,lokalny
logical,logique,lógico,logické,logisch,logiczny
long-winded,longuet,largo,dlouhatánský,langatmig,rozwlekły
lovable,adorable,adorable,lovable,liebenswert,sympatyczny
love-lorn,amour-tristesse,amor-desamor,love-lorn,Liebeskummer,zakochany
lovely,beau,precioso,krásné,schön,uroczy
maternal,maternelle,materna,mateřský,mütterlicherseits,macierzyński
mature,mature,maduro,vyspělost,reif,dojrzały
mean,moyenne,media,průměr,Mittelwert,średni
meddlesome,maladroit,entrometido,všetečný,aufdringlich,uciążliwy
mercurial,mercuriale,mercurial,mercurial,quecksilberhaltig,rtęciowy
methodical,méthodique,metódico,metodický,Methodisch,metodyczny
meticulous,méticuleux,meticuloso,pečlivý,Akribisch,skrupulatny
mild,doux,suave,mild,mild,łagodny
miserable,misérable,miserable,mizerný,miserabel,nieszczęśliwy
modest,modeste,modesto,skromné,bescheiden,skromny
moronic,abruti,imbécil,debilní,schwachsinnig,kretyński
morose,morose,moroso,morose,mürrisch,chorobliwy
motivated,motivé,motivado,motivovaný,motiviert,zmotywowany
musical,musical,musical,hudební,musikalisch,muzyczny
naive,naïf,ingenuo,naivní,naiv,naiwny
nasty,méchant,desagradable,ošklivý,böse,paskudny
natural,naturel,natural,přírodní,natürlich,naturalny
naughty,vilain,travieso,nezbedný,Frechheit,niegrzeczny
negative,négatif,negativo,negativní,negativ,ujemny
nervous,nerveux,nervioso,nervózní,nervös,nerwowy
noisy,bruyant,ruidoso,hlučné,verrauscht,hałaśliwy
normal,normal,normal,normální,normal,normalny
nosy,curieux,entrometido,vlezlý,neugierig,wścibski
numb,nombre,numb,numb,numb,liczba
obliging,obligatoire,servicial,závazné,verbindlich,zobowiązujący
obnoxious,odieux,odioso,obnoxious,widerlich,obleśny
old-fashioned,à l'ancienne,a vieja usanza,staromódní,altmodisch,staroświecki
one-sided,unilatéral,unilateral,jednostranný,einseitig,jednostronny
orderly,ordonné,ordenada,spořádaně,Ordentlich,uporządkowany
ostentatious,ostentatoire,ostentoso,ostentativní,ostentativ,ostentacyjny
outgoing,sortant,saliente,odchozí,ausgehend,wychodzący
outspoken,franc-parler,sin pelos en la lengua,otevřený,Freimütig,szczery
passionate,passionné,apasionado,vášnivý,leidenschaftlich,namiętny
passive,passif,pasivo,pasivní,passiv,pasywny
paternal,paternel,paterna,otcovský,väterlicherseits,ojcowski
paternalistic,paternaliste,paternalista,paternalistický,paternalistisch,paternalistyczny
patient,patient,paciente,pacient,Patient,pacjent
peaceful,pacifique,pacífico,klidný,friedlich,spokojny
peevish,peureux,peevish,peevish,mürrisch,drażliwy
pensive,pensif,pensativo,zádumčivý,nachdenklich,zamyślony
persevering,persévérant,perseverante,vytrvalý,ausdauernd,wytrwały
persnickety,tatillon,persnickety,persnickety,pingelig,persnickety
petulant,pétulant,petulante,petulant,mürrisch,małostkowy
picky,pointilleux,quisquilloso,vybíravý,wählerisch,wybredny
plain,simple,llano,prostý,einfach,zwykły
plain-speaking,en termes clairs,En pocas palabras,jednoduše řečeno,Klartext,mówienie wprost
playful,ludique,lúdico,hravé,spielerisch,zabawny
pleasant,agréable,agradable,příjemné,angenehm,przyjemny
plucky,courageux,valiente,plucky,mutig,szczęśliwy
polite,poli,educado,zdvořilostní,höflich,grzeczny
popular,populaire,popular,populární,beliebt,popularny
positive,positifs,positivo,pozitivní,positiv,pozytywny
powerful,puissant,potente,výkonný,leistungsstarke,potężny
practical,pratique,práctico,praktické,praktisch,praktyczny
prejudiced,préjugé,prejuicios,předsudky,Vorurteil,uprzedzony
pretty,beau,bonito,pretty,hübsch,ładny
proficient,compétent,competente,proficient,tüchtig,biegły
proud,fière,orgulloso,hrdý,stolz,dumny
provocative,provocateur,provocador,provokativní,provokant,prowokacyjny
prudent,prudent,prudente,obezřetný,umsichtig,ostrożny
punctual,ponctuel,puntual,přesné,pünktlich,punktualny
quarrelsome,querelleur,pendenciero,hádavý,zänkisch,kłótliwy
querulous,querelleur,quejoso,kverulantský,querulatorisch,zadziorny
quick,rapide,rápido,rychle,schnell,szybki
quick-tempered,rapide,de mal genio,rychlá reakce,aufbrausend,porywczy
quiet,calme,tranquilo,tichý,leise,cichy
realistic,réaliste,realista,realistické,realistisch,realistyczny
reassuring,rassurant,tranquilizador,uklidňující,Beruhigend,uspokajający
reclusive,reclus,reclusivo,samotářský,Zurückgezogen,samotny
reliable,fiable,fiable,spolehlivé,zuverlässig,niezawodny
reluctant,réticent,reticente,neochotný,unwillig,niechętny
resentful,rancunier,resentido,rozhořčený,nachtragend,urażony
reserved,réservé,reservado,vyhrazeno,reserviert,zarezerwowany
resigned,résigné,dimitió,odstoupil,zurückgetreten,zrezygnowany
resourceful,ingénieux,ingenioso,vynalézavý,einfallsreich,zaradny
respected,respecté,respetado,respektovaný,geachtet,szanowany
respectful,respectueux,respetuoso,uctivý,respektvoll,pełen szacunku
responsible,responsable,responsable,odpovědný,verantwortlich,odpowiedzialny
restless,agité,inquieto,neklidný,ruhelos,niespokojny
revered,vénéré,venerado,uctívaný,verehrt,czczony
ridiculous,ridicule,ridículo,směšné,lächerlich,śmieszny
sad,triste,triste,smutný,traurig,smutny
sassy,impertinent,sassy,sassy,frech,bezczelny
saucy,grivois,descarado,saucy,frech,pikantny
sedate,sédimenter,sedar,Sedate,sedate,spokojny
self-assured,sûr de soi,autoasegurado,sebevědomý,selbstbewusst,pewny siebie
selfish,égoïste,egoísta,sobecký,selbstsüchtig,samolubny
sensible,sensible,sensible,rozumné,vernünftig,sensowny
sensitive,sensible,sensible,citlivé,empfindlich,wrażliwy
sentimental,sentimental,sentimental,sentimentální,sentimental,sentymentalny
serene,serein,sereno,klidný,Gelassenheit,pogodny
serious,sérieux,serio,vážné,seriös,poważny
sharp,pointu,sharp,sharp,scharf,ostry
short-tempered,courtoisie,malhumorado,krátkozraký,kurzatmig,porywczy
shrewd,astucieux,astuto,chytrý,schlaue,sprytny
shy,timide,tímido,plachý,schüchtern,nieśmiały
silly,stupide,tonto,hloupý,dumm,głupi
sincere,sincère,sincero,upřímný,aufrichtig,szczery
sleepy,endormi,somnoliento,sleepy,schläfrig,senny
slight,léger,ligero,mírné,leicht,niewielki
sloppy,négligent,descuidado,sloppy,schlampig,niechlujny
slothful,paresseux,perezoso,lenošný,faul,leniwy
slovenly,négligé,desaliñado,lajdácky,schlampig,niechlujny
slow,lent,lento,pomalu,langsam,powolny
smart,intelligente,inteligente,smart,smart,inteligentny
snazzy,élégant,snazzy,snazzy,schick,snazzy
sneering,ricanement,desprecio,posmívání,hämisch,szyderstwo
snobby,snob,snob,snobský,versnobt,snobistyczny
sober,sobre,sobrio,střízlivý,nüchtern,trzeźwy
somber,sombre,sombrío,ponurý,düster,ponury
sophisticated,sophistiqué,sofisticado,sofistikované,anspruchsvoll,wyrafinowany
soulful,plein d'âme,conmovedor,oduševnělý,gefühlvoll,uduchowiony
soulless,sans âme,desalmado,bez duše,seelenlos,bezduszny
sour,aigre,agrio,kyselý,sauer,kwaśny
spirited,fougueux,spirited,oduševnělý,temperamentvoll,uduchowiony
spiteful,méchant,rencoroso,spiteful,gehässig,złośliwy
stable,stable,estable,stabilní,stabil,stabilny
staid,staid,staid,staid,nüchtern,stabilny
steady,stable,estable,stabilní,stetig,stabilny
stern,poupe,popa,záď,Heck,rufa
stoic,stoïque,estoico,stoic,stoisch,stoicki
striking,frappant,en huelga,stávkující,auffällig,uderzający
strong,fort,fuerte,strong,stark,silny
stupid,stupide,estúpido,stupid,dumm,głupi
sturdy,robuste,robusto,robustní,robuste,wytrzymały
subtle,subtile,sutil,jemné,subtil,subtelny
sulky,boudeur,malhumorado,sulky,Sulky,nadąsany
sullen,maussade,hosco,mrzutý,mürrisch,ponury
supercilious,hautain,arrogante,nadřazený,Hochmütig,arogancki
superficial,superficiel,superficial,povrchový,oberflächlich,powierzchowny
surly,surrement,hosco,surly,mürrisch,surowy
suspicious,suspect,sospechoso,podezřelé,verdächtig,podejrzany
sweet,doux,dulce,sweet,süß,słodki
tactful,tact,tacto,taktní,taktvoll,taktowny
tactless,sans tact,tactless,netaktní,taktlos,nietaktowny
talented,talentueux,talento,talentovaný,talentiert,utalentowany
testy,testy,testy,testy,.,testy
thinking,pensant,pensando,myšlení,Denken,myślenie
thoughtful,réfléchi,atento,promyšlené,nachdenklich,przemyślany
thoughtless,irréfléchi,irreflexivo,bezmyšlenkovité,gedankenlos,bezmyślny
timid,timide,tímido,nesmělý,ängstlich,nieśmiały
tired,fatigué,cansado,unavený,müde,zmęczony
tolerant,tolérant,tolerante,tolerantní,tolerant,tolerancyjny
touchy,tactile,delicado,touchy,empfindlich,drażliwy
tranquil,tranquille,tranquilo,klidný,beschaulich,spokojny
ugly,laid,feo,ugly,hässlich,brzydki
unaffected,non affecté,no afectado,neovlivněné,unbeeinflusst,nienaruszony
unbalanced,déséquilibré,desequilibrado,nevyvážený,unausgewogen,niezrównoważony
uncertain,incertaine,incierto,nejistý,unsicher,niepewny
uncooperative,non coopératif,no cooperativo,nespolupracující,unkooperativ,niechętny do współpracy
undependable,indéfectible,poco fiable,nespolehlivé,unzuverlässig,niezależny
unemotional,sans émotion,unemotional,neemocionální,nüchtern,nieemocjonalny
unfriendly,inamicale,antipático,nepřátelské,unfreundlich,nieprzyjazny
unguarded,non surveillé,sin vigilancia,nestřežený,unbewacht,niestrzeżony
unhelpful,inutile,inútil,neužitečné,nicht hilfreich,nieprzydatny
unimaginative,sans imagination,nimaginativo,nenápadité,phantasielos,bez wyobraźni
unmotivated,démotivé,desmotivado,nemotivovaný,unmotiviert,niezmotywowany
unpleasant,désagréable,desagradable,nepříjemné,unangenehm,nieprzyjemny
unpopular,impopulaire,impopular,nepopulární,unpopulär,niepopularny
unreliable,peu fiable,poco fiable,nespolehlivé,unzuverlässig,zawodny
unsophisticated,non sophistiqué,unsophisticated,nesofistikované,einfach,niewyszukany
unstable,instable,inestable,nestabilní,unbeständig,niestabilny
unsure,incertaine,inseguro,nejistý,unsicher,niepewny
unthinking,irréfléchi,unthinking,nemyslící,unreflektiert,niemyślenie
unwilling,à contrecœur,poco dispuesto,neochotný,unwillig,niechętny
venal,vénal,venal,venal,venal,jadowity
versatile,polyvalent,versátil,všestranný,vielseitig,wszechstronny
vigilant,vigilant,vigilante,bdělý,wachsam,czujny
volcanic,volcanique,volcánico,vulkanické,vulkanisch,wulkaniczny
vulnerable,vulnérable,vulnerable,zranitelné,anfällig,wrażliwy
warm,chaud,caliente,teplý,warm,ciepły
warmhearted,chaleureux,cariñoso,srdečný,warmherzig,serdeczny
wary,méfiance,cuidado,obezřetný,vorsichtig,ostrożny
watchful,vigilant,atento,pozorný,wachsam,czujny
weak,faible,débil,slabý,schwach,słaby
well-behaved,bien élevé,bien educado,dobře vychovaný,wohlerzogen,grzeczny
well-developed,bien développé,bien desarrollado,dobře vyvinutý,gut entwickelt,dobrze rozwinięty
well-intentioned,bien intentionné,bienintencionado,Dobré úmysly,wohlmeinend,dobre intencje
well-respected,bien respecté,n respetado,respektovaný,gut angesehen,szanowany
well-rounded,bien équilibré,bien redondeado,dobře vybavený,Rundes Programm,dobrze zaokrąglony
willing,volontaire,dispuesto,ochotný,bereit,chętny
wonderful,merveilleux,maravilloso,nádherné,wunderbar,wspaniały
zealous,zélé,celo,horlivý,eifrig,gorliwy
