word,FR,ES,CS,DE,PL
ex husband,ex-mari,ex marido,bývalý manžel,Ex-Ehemann,były mąż
ex wife,ex-femme,ex esposa,bývalá manželka,Ex-Frau,była żona
extended family,famille élargie,familia ampliada,rozšířená rodina,Großfamilie,rozszerzona rodzina
faithful,fidèle,fiel,věrný,treu,wierny
family,famille,familia,rodina,Familie,rodzina
family tree,arbre généalogique,árbol genealógico,rodokmen,Stammbaum,drzewo genealogiczne
father,père,padre,otec,Vater,ojciec
father-in-law,beau-père,suegro,tchán,Schwiegervater,teść
fiancee,fiancee,novia,snoubenka,Verlobte,narzeczona
first born,premier né,primogénito,prvorozený,Erstgeborener,pierworodny
first cousin,cousin germain,primo hermano,první bratranec a sestřenice,Cousin ersten Grades,pierwszy kuzyn
first cousin once removed,cousin germain au premier degré,primo hermano,bratranec a sestřenice z prvního kolene,Cousin ersten Grades,pierwszy kuzyn raz usunięty
flesh and blood,la chair et le sang,carne y hueso,tělo a krev,Menschen aus Fleisch und Blut,ciało i krew
folks,personnes,gente,lidé,Leute,ludzie
foster,favoriser,acoger,foster,pflegen,zastępczy
foster child,enfant en famille d'accueil,hijo acogido,pěstounské dítě,Pflegekind,dziecko zastępcze
foster father,père nourricier,padre adoptivo,pěstoun,Ziehvater,przybrany ojciec
foster mother,mère nourricière,madre adoptiva,pěstounka,Pflegemutter,matka zastępcza
foster parent,parent nourricier,padre adoptivo,pěstoun,Ziehvater,rodzic zastępczy
fraternal,fraternel,fraternal,bratrské,geschwisterlich,braterski
fraternal twin,jumeau fraternel,gemelo fraterno,bratrské dvojče,zweieiiger Zwilling,bratni bliźniak
friend,ami,amigo,přítel,Freund,przyjaciel
genealogy,généalogie,genealogía,genealogie,Genealogie,genealogia
grampa,grampa,grampa,dědeček,Opa,grampa
gramps,gramps,abuelos,gramps,Opa,gramy
grandchild,petit-fils,nieto,vnouče,Enkelkind,wnuk
grandchildren,petits-enfants,nietos,vnoučata,Enkelkinder,wnuki
granddaughter,petite-fille,nieta,vnučka,Enkelin,wnuczka
grandfather,grand-père,abuelo,dědeček,Großvater,dziadek
grandma,grand-mère,abuela,babička,Oma,babcia
grandmother,grand-mère,abuela,babička,Großmutter,babcia
grandpa,grand-père,abuelo,dědeček,Opa,dziadek
grandparent,grand-parent,abuelo,prarodiče,Großeltern,dziadek
grandson,petit-fils,nieto,vnuk,Enkel,wnuk
granny,mamie,abuelita,babička,Oma,babcia
great-aunt,grand-tante,tía abuela,prateta,Großtante,ciotka
great-granddaughter,arrière-petite-fille,bisnieta,pravnučka,Urenkelin,prawnuczka
great-grandfather,arrière-grand-père,bisabuelo,pradědeček,Urgroßvater,pradziadek
great-grandmother,arrière-grand-mère,bisabuela,prababička,Urgroßmutter,prababcia
great-grandparent,arrière-grand-parent,bisabuelo,praprarodiče,Urgroßeltern,pradziadek
great-grandson,arrière-petit-fils,bisnieto,pravnuk,Urenkel,prawnuk
great-uncle,grand-oncle,tío abuelo,prastrýc,Großonkel,wujek
groom,groom,novio,ženich,Bräutigam,pan młody
grownup,adulte,adulto,dospělý,Erwachsener,dorosły
half-brother,demi-frère,medio hermano,nevlastní bratr,Halbbruder,przyrodni brat
half-sister,demi-sœur,media hermana,nevlastní sestra,Halbschwester,przyrodnia siostra
heir,héritier,heir,jeho,er,spadkobierca
heiress,héritière,heredera,dědička,Erbin,dziedziczka
helpmate,compagnon d'infortune,helpmate,pomocník,Helferin,pomocnik
hereditary,héréditaire,hereditario,dědičné,Vererbung,dziedziczny
heritage,patrimoine,patrimonio,dědictví,Erbe,dziedzictwo
history,histoire,historia,historie,Geschichte,historia
home,domicile,Inicio,home,home,dom
household,ménage,hogar,domácnost,Haushalt,gospodarstwo domowe
husband,mari,marido,manžel,Ehemann,mąż
identical twin,jumeau identique,gemelo idéntico,identické dvojče,eineiiger Zwilling,identyczny bliźniak
in-law,en droit,en-ley,tchán a tchyně,ür die Schwiegereltern,teściowa
infancy,enfance,infancia,dětství,Säuglingsalter,niemowlęctwo
infant,enfant,bebé,kojenec,Kleinkind,niemowlę
inherit,hériter,heredar,dědictví,erben,dziedziczyć
inheritance,héritage,herencia,dědictví,Vererbung,dziedziczenie
juvenile,juvénile,juvenil,mladiství,jugendlich,nieletni
kin,kin,kin,příbuzní,kin,krewny
kindred,apparenté,afín,spřízněné,verwandt,pokrewny
kinfolk,famille,parientes,kinfolk,Verwandtschaft,krewni
kinship,parenté,parentesco,příbuzenské vztahy,Verwandtschaft,pokrewieństwo
kith,kith,kith,kith,kith,kith
lineage,lignée,linaje,rodokmen,Abstammung,rodowód
love,amour,amor,láska,Liebe,miłość
loyalty,loyauté,lealtad,věrnost,Loyalität,lojalność
ma,ma,ma,ma,ma,ma
maiden name,nom de jeune fille,nombre de soltera,dívčí jméno,Mädchenname,nazwisko panieńskie
mama,maman,mama,maminka,mama,mama
marriage,mariage,matrimonio,manželství,Ehe,małżeństwo
mate,compagnon,mate,kamarád,mate,kolega
maternal,maternelle,materna,mateřský,mütterlicherseits,macierzyński
matriarch,matriarche,matriarca,matriarcha,Matriarchin,matriarcha
matrimony,mariage,matrimonio,manželství,Eheschließung,małżeństwo
minor,mineur,menor,menší,geringfügig,nieletni
Miss,Mlle,Srta.,Slečna,Fräulein,panna
mom,maman,mamá,maminka,mutter,mama
mommy,maman,mami,maminka,mama,mama
monogamy,monogamie,monogamia,monogamie,Monogamie,monogamia
mother,mère,madre,matka,Mutter,matka
mother-in-law,belle-mère,suegra,tchyně,Schwiegermutter,teściowa
Mr.,Monsieur,Sr.,Pan,Herr,Pan.
Mrs.,Mme.,Sra.,paní,Frau,Pani.
Ms.,Mme.,Sra.,Paní,Frau,Pani.
nana,nana,nana,nana,nana,nana
natal,natal,natal,natální,natal,rodzimy
nephew,neveu,sobrino,synovec,Neffe,siostrzeniec
nest,nid,nido,hnízdo,Nest,gniazdo
newlywed,jeunes mariés,recién casados,novomanželé,frisch verheiratet,nowożeńcy
niece,nièce,sobrina,neteř,Nichte,siostrzenica
nuclear family,famille nucléaire,familia nuclear,nukleární rodina,Kernfamilie,rodzina nuklearna
nuptial,nuptial,nupcial,nuptial,nuptial,zaślubiny
nurture,nourrir,nutrir,ošetřovat,nähren,pielęgnacja
offspring,progéniture,descendencia,potomci,Nachkommen,potomstwo
orphan,orphelin,huérfano,sirotek,verwaist,sierota
pa,pa,pa,pa,pa,pa
papa,papa,papa,papa,papa,papa
parent,parent,padre,nadřízený,Elternteil,rodzic
partner,partenaire,socio,partner,Partner,partner
paternal,paternel,paterna,otcovský,väterlicherseits,ojcowski
patriarch,patriarche,patriarca,patriarcha,Patriarch,patriarcha
pop,pop,pop,pop,pop,pop
posterity,postérité,posteridad,posterity,Nachwelt,potomność
progenitor,progéniteur,progenitor,progenitor,Vorläufer,progenitor
progeny,descendance,progenie,potomci,Nachkommenschaft,potomstwo
quadruplets,quadruplets,cuatrillizos,čtyřčata,Vierlinge,czworaczki
quads,quads,quads,čtyřkolky,quads,quady
quints,quinquets,quintillas,quints,Quinten,kwinty
quintuplets,quintuplés,quintillizos,paterčata,Fünflinge,pięcioraczki
related,apparenté,relacionado,související,zugehörige,powiązany
relations,relations,relaciones,vztahy,Beziehungen,relacje
relative,relatif,relativa,relativní,relativ,względny
second cousin,cousin au second degré,primo segundo,druhý bratranec a sestřenice,Cousine zweiten Grades,drugi kuzyn
senior,senior,senior,senior,Senior,senior
separation,séparation,separación,oddělení,Trennung,separacja
sibling,frère ou sœur,hermano,sourozenci,Geschwister,rodzeństwo
single,unique,solo,jediný,einzeln,pojedynczy
sister,sœur,hermana,sestra,Schwester,siostra
sister-in-law,belle-sœur,cuñada,švagrová,Schwägerin,szwagierka
sisterhood,sororité,hermandad,sesterství,Schwesternschaft,siostrzeństwo
sisterly,sœurs,fraternal,sesterské,schwesterlich,siostrzany
son,fils,son,syn,son,syn
son-in-law,gendre,yerno,zeť,Schwiegersohn,zięć
spouse,conjoint,cónyuge,manželé,Ehepartner,małżonek
stepbrother,demi-frère,hermanastro,nevlastní bratr,Stiefbruder,przyrodni brat
stepchild,beau-fils,hijastro,nevlastní dítě,Stiefkind,pasierb
stepchildren,beaux-enfants,hijastros,nevlastní děti,Stiefkinder,pasierbowie
stepdad,beau-père,padrastro,nevlastní otec,Stiefvater,ojczym
stepdaughter,belle-fille,hijastra,nevlastní dcera,Stieftochter,pasierbica
stepfather,beau-père,padrastro,nevlastní otec,Stiefvater,ojczym
stepmom,belle-mère,madrastra,macecha,Stiefmutter,macocha
stepmother,belle-mère,madrastra,nevlastní matka,Stiefmutter,macocha
stepsister,demi-sœur,hermanastra,nevlastní sestra,Stiefschwester,przyrodnia siostra
stepson,beau-fils,hijastro,nevlastní syn,Stiefsohn,pasierb
support,soutenir,soporte,podpora,Unterstützung,wsparcie
surrogate mother,mère porteuse,madre de alquiler,náhradní matka,Leihmutter,matka zastępcza
tribe,tribu,tribu,kmen,Stamm,plemię
triplets,triplés,trillizos,trojčata,Drillinge,trojaczki
trust,confiance,confíe en,trust,Vertrauen,zaufanie
trustworthy,digne de confiance,de confianza,důvěryhodný,vertrauenswürdig,godny zaufania
twin brother,frère jumeau,hermano gemelo,dvojče,Zwillingsbruder,brat bliźniak
twin sister,sœur jumelle,hermana gemela,dvojče,Zwillingsschwester,siostra bliźniaczka
twins,jumeaux,gemelos,dvojčata,Zwillinge,bliźniaki
uncle,oncle,tío,strýc,Onkel,wujek
value,valeur,valor,hodnota,Wert,wartość
wed,marier,wed,wed,wed,ślub
wedding,mariage,boda,svatba,Hochzeit,ślub
wedlock,mariage,matrimonio,manželství,Eheschließung,ślub
wife,femme,esposa,manželka,Frau,żona
youngster,jeune,joven,mladík,Youngster,młodzik
youth,jeunesse,juventud,mládež,Jugend,młodzież
