word,FR,ES,CS,DE,PL
sofabed,canapé-lit,sofá cama,rozkládací pohovka,Sofabett,kanapa
stool,tabouret,taburete,stolička,Hocker,stołek
table,table,mesa,stůl,Tisch,stół
tansu,tansu,tansu,tansu,tansu,tansu
tea cart,chariot à thé,carro de té,čajový vozík,Teewagen,wózek na herbatę
throne,trône,trono,trůn,Thron,tron
throw rug,tapis,alfombra,koberec na házení,Wollteppich,dywanik
trundle bed,lit gigogne,cama nido,postele na kolečkách,Bett mit Rollen,łóżko piętrowe
tuffet,tuffet,tuffet,tuffet,Buffet,tufet
valet,valet,valet,komorník,Diener,walet
vanity,meuble-lavabo,tocador,marnost,Waschtisch,próżność
Venetian blinds,Stores vénitiens,Persianas venecianas,Žaluzie,Jalousien,Żaluzje weneckie
vitrine,vitrine,vitrina,vitrína,Vitrine,witryna
wardrobe,armoire,armario,šatní skříň,Kleiderschrank,szafa
waste basket,corbeille à papier,papelera,odpadkový koš,Papierkorb,kosz na śmieci
waterbed,lit à eau,cama de agua,vodní postel,Wasserbett,łóżko wodne
window shades,stores de fenêtre,persianas,stínění oken,Jalousien,rolety okienne
Windsor chair,Chaise Windsor,Silla Windsor,Židle Windsor,Windsor-Stuhl,Krzesło Windsor
wing chair,fauteuil à oreilles,sillón,křídlové křeslo,Ohrensessel,fotel skrzydłowy
work table,table de travail,mesa de trabajo,pracovní stůl,Arbeitstisch,stół roboczy
writing desk,bureau,escritorio,psací stůl,Schreibpult,biurko
