word,FR,ES,CS,DE,PL
combine,moissonneuse-batteuse,cosechadora,kombajn,Mähdrescher,kombajn
compact car,voiture compacte,coche compacto,kompaktní vůz,Kleinwagen,samochód kompaktowy
Conestoga wagon,Wagon Conestoga,Vagón Conestoga,Vůz Conestoga,Conestoga-Wagen,Wagon Conestoga
container ship,navire porte-conteneurs,portacontenedores,kontejnerová loď,Containerschiff,kontenerowiec
convertible,décapotable,descapotable,kabriolet,Cabrio,kabriolet
conveyance,moyens de transport,transporte,dopravní prostředky,Beförderung,transport
conveyor belt,bande transporteuse,cinta transportadora,pásový dopravník,Förderband,przenośnik taśmowy
convoy,convoi,convoy,konvoj,Konvoi,konwój
coupe,coupé,cupé,kupé,Coupé,coupe
covered wagon,wagon couvert,carro cubierto,krytý vůz,Planwagen,kryty wagon
crane,grue,grúa,jeřáb,Kran,dźwig
crop duster,pulvérisateur de cultures,fumigadora,práškovací vůz,Sprühflugzeug,opylacz
cruise ship,bateau de croisière,crucero,výletní loď,Kreuzfahrtschiff,statek wycieczkowy
cruiser,croiseur,crucero,cruiser,Kreuzer,krążownik
cutter,cutter,cortadora,fréza,Kutter,kuter
cycle,cycle,bicicleta,cyklus,Fahrrad,cykl
delivery truck,camion de livraison,camión de reparto,dodávkové vozidlo,Lieferwagen,samochód dostawczy
delivery van,camionnette de livraison,furgoneta de reparto,dodávkové vozidlo,Lieferwagen,samochód dostawczy
destroyer,destroyer,destructor,torpédoborec,Zerstörer,niszczyciel
diesel truck,camion diesel,camión diesel,nákladní automobil s dieselovým motorem,Diesel-LKW,ciężarówka z silnikiem wysokoprężnym
dinghy,canot pneumatique,embarcación auxiliar,člun,Beiboot,ponton
dirigible,dirigeable,dirigible,vzducholoď,Luftschiff,sterowiec
dirt bike,vélo tout-terrain,moto de cross,terénní motorka,Dirtbike,dirt bike
diving bell,cloche de plongée,campana de buceo,potápěčský zvon,Taucherglocke,dzwon nurkowy
dog cart,chariot pour chiens,carro para perros,vozík pro psy,Hundewagen,wózek dla psa
dogsled,traîneau à chiens,trineo de perros,psí spřežení,Hundeschlitten,psi zaprzęg
donkey cart,charrette à âne,carro tirado por burros,oslí povoz,Eselskarren,wózek osła
dray,remorque,dray,nákladní vůz,Dray,dray
driver,conducteur,conductor,řidič,Fahrer,kierowca
dugout canoe,pirogue,piragua,dugout kánoe,Einbaumkanu,czółno
dump truck,camion à benne basculante,volquete,sklápěč,Kipplaster,wywrotka
earth mover,engins de terrassement,excavadora,zemní stroje,Erdbewegungsmaschine,pojazd do robót ziemnych
eighteen-wheeler,dix-huit roues,vehículo de dieciocho ruedas,osmnáctikolky,Achtzehnrädrige Fahrzeuge,osiemnastokołowiec
electric car,voiture électrique,coche eléctrico,elektromobil,Elektroauto,samochód elektryczny
elevated railroad,chemin de fer surélevé,ferrocarril elevado,nadzemní dráha,Hochbahn,podniesiona linia kolejowa
elevator,ascenseur,ascensor,výtah,Aufzug,winda
engine,moteur,motor,motor,Motor,silnik
escalator,escalator,escalera mecánica,eskalátor,Rolltreppe,schody ruchome
express train,train express,tren exprés,expresní vlak,Schnellzug,pociąg ekspresowy
ferry,ferry,transbordador,trajekt,Fähre,prom
fire engine,camion de pompiers,camión de bomberos,hasičský vůz,Feuerwehrauto,wóz strażacki
fireboat,bateau-pompe,barco de bomberos,hasičský člun,Feuerwehrauto,łódź strażacka
fishing boat,bateau de pêche,barco de pesca,rybářský člun,Fischerboot,łódź rybacka
flatbed truck,camion à plate-forme,camión plataforma,nákladní automobil s plošinou,Pritschenwagen,ciężarówka z platformą
forklift,chariot élévateur,carretilla elevadora,vysokozdvižný vozík,Gabelstapler,wózek widłowy
four-by-four,quatre par quatre,cuatro por cuatro,čtyři na čtyři,4x4,cztery na cztery
four-door,quatre portes,cuatro puertas,čtyřdveřové,viertürig,czterodrzwiowy
four-wheel drive,quatre roues motrices,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na cztery koła
freight train,train de marchandises,tren de mercancías,nákladní vlak,Güterzug,pociąg towarowy
freighter,cargo,carguero,nákladní loď,Frachter,frachtowiec
frigate,frégate,fragata,fregata,Fregatte,fregata
funicular railway,funiculaire,funicular,lanová dráha,Standseilbahn,kolej linowa
galleon,galion,galeón,galeona,Galeone,galeon
garbage truck,camion à ordures,camión de la basura,popelářský vůz,Müllwagen,śmieciarka
glider,planeur,planeador,kluzák,Segelflugzeug,szybowiec
go-cart,kart,kart,motokáry,Go-Kart,gokart
golf cart,voiturette de golf,carrito de golf,golfový vozík,Golfwagen,wózek golfowy
gondola,gondole,góndola,gondola,Gondel,gondola
gondola lift,télécabine,telecabina,gondolový výtah,Gondelbahn,wyciąg gondolowy
gridlock,embouteillage,atasco,dopravní zácpy,Verkehrsstau,blokada
handcar,voiture à main,handcar,ruční vůz,Draisine,samochód ręczny
hang glider,deltaplane,ala delta,rogalo,Hängegleiter,lotnia
hansom cab,fiacre,taxi,kabina hansom,Pferdedroschke,taksówka
hardtop,toit rigide,techo duro,pevná střecha,Hardtop,hardtop
harvester,moissonneuse,cosechadora,harvester,Harvester,kombajn
hatchback,à hayon,portón trasero,hatchback,Schrägheck,hatchback
haul,transporter,transportar,tahat,transportieren,zaciąg
hay wagon,charrette à foin,carro de heno,vůz na seno,Heuwagen,wóz na siano
hearse,corbillard,coche fúnebre,pohřební vůz,Leichenwagen,karawan
helicopter,hélicoptère,helicóptero,vrtulník,Hubschrauber,helikopter
hook and ladder truck,camion à crochets et échelles,camión de gancho y escalera,hákový a žebříkový vůz,Haken- und Leiterwagen,hakowiec i drabina
hot rod,hot rod,bólido,hot rod,Hot Rod,hot rod
hot-air balloon,ballon à air chaud,globo aerostático,horkovzdušný balón,Heißluftballon,balon na ogrzane powietrze
houseboat,péniche,casa flotante,hausbót,Hausboot,barka
hovercraft,aéroglisseur,aerodeslizador,vznášedlo,Luftkissenfahrzeug,poduszkowiec
hull,coque,casco,korba,Rumpf,kadłub
Humvee,Humvee,Humvee,Humvee,Humvee,Humvee
hybrid,hybrides,híbrido,hybridní,Hybrid,hybryda
hydrofoil,hydroptère,hidroala,hydrofoil,Tragflächenboot,wodolot
hydroplane,hydravion,hidroavión,hydroplán,Wasserflugzeug,hydroplan
ice boat,bateau à glace,barco de hielo,ledový člun,Eisboot,łódź lodowa
ice breaker,brise-glace,rompehielos,rozbíječ ledu,Eisbrecher,lodołamacz
jalopy,tacot,cacharro,jalopy,Jalopy,jalopy
jeep,jeep,jeep,jeep,Jeep,jeep
jet,jet,jet,jet,Jet,odrzutowiec
jet boat,bateau à réaction,lancha motora,tryskový člun,Jetboot,łódź odrzutowa
jet pack,jet pack,jet pack,jet pack,Jetpack,plecak odrzutowy
jet ski,jet ski,moto acuática,vodní skútr,Jetski,skuter wodny
jetliner,avion de ligne,avión de línea,tryskové letadlo,Verkehrsflugzeug,odrzutowiec
journey,voyage,viaje,cesta,Reise,podróż
jumbo jet,avion gros porteur,avión jumbo,jumbo jet,Jumbojet,jumbo jet
junk,camelote,chatarra,vetešnictví,Schrott,śmieci
kayak,kayak,kayak,kajak,Kajak,kajak
ketch,ketch,ketch,keč,Ketsch,kecz
landing craft,embarcations de débarquement,lanchas de desembarco,vyloďovací plavidla,Landungsboote,jednostki desantowe
life raft,radeau de sauvetage,balsa salvavidas,záchranný člun,Rettungsinsel,tratwa ratunkowa
lifeboat,bateau de sauvetage,bote salvavidas,záchranný člun,Rettungsboot,łódź ratunkowa
light rail,rail léger,metro ligero,lehká železnice,Stadtbahn,lekka kolej
limo,limousine,limusina,limuzína,Limousine,limuzyna
limousine,limousine,limusina,limuzína,Limousine,limuzyna
litter,déchets,basura,odpadky,Abfälle,śmieci
locomotive,locomotive,locomotora,lokomotiva,Lokomotive,lokomotywa
lorry,camion,camión,nákladní automobil,Lastkraftwagen,ciężarówka
low-rider,low-rider,low-rider,low-rider,Low-Rider,low-rider
magic carpet,tapis volant,alfombra mágica,kouzelný koberec,Zauberteppich,magiczny dywan
maglev,maglev,maglev,maglev,Magnetschwebebahn,maglev
mast,mât,mástil,stožár,Mast,maszt
minesweeper,dragueur de mines,dragaminas,minolovka,Minenräumer,trałowiec
minibus,minibus,minibús,minibus,Kleinbus,minibus
minivan,monospace,monovolumen,minivan,Minivan,minivan
model T,modèle T,modelo T,model T,Modell T,model T
monorail,monorail,monorraíl,jednokolejná dráha,Einschienenbahn,kolej jednoszynowa
moped,cyclomoteur,ciclomotor,moped,Moped,motorower
motor,moteur,motor,motor,Motor,silnik
motor home,camping-car,autocaravana,obytný automobil,Wohnmobil,samochód kempingowy
motorboat,bateau à moteur,lancha motora,motorový člun,Motorboot,motorówka
motorcar,automobile,automóvil,automobil,Kraftfahrzeug,samochód
motorcycle,motocyclette,motocicleta,motocykl,Motorrad,motocykl
mountain bike,vélo de montagne,bicicleta de montaña,horské kolo,Mountainbike,rower górski
narrowboat,bateau étroit,embarcación estrecha,úzkokolejka,Schmalspurboot,wąska łódź
oar,aviron,remo,vesla,Ruder,wiosło
ocean liner,paquebot,transatlántico,zaoceánská loď,Ozeandampfer,transatlantyk
off-road vehicle,véhicule tout-terrain,vehículo todoterreno,terénní vozidlo,Geländewagen,pojazd terenowy
oil tanker,pétrolier,petrolero,cisterna na ropu,Öltankwagen,tankowiec
outboard motor,moteur hors-bord,motor fueraborda,přívěsný motor,Außenbordmotor,silnik zaburtowy
outrigger canoe,canoë à balancier,canoa con balancín,kanoe na výložnících,Auslegerkanu,kajak z wysięgnikiem
oxcart,charrette à bœufs,carro de bueyes,oxcart,Ochsenkarren,wózek
paddle,pagaie,paleta,pádlo,Schaufelrad,wiosło
paddlewheeler,roue à aubes,rueda de paletas,paddlewheeler,Schaufelraddampfer,koło łopatkowe
parachute,parachute,paracaídas,padák,Fallschirm,spadochron
passenger,passagers,pasajeros,osobní,Passagiere,pasażerski
patrol car,voiture de patrouille,coche patrulla,hlídkový vůz,Streifenwagen,samochód patrolowy
pedal boat,pédalo,bote de pedales,šlapadla,Tretboot,rower wodny
pickup truck,camionnette,camioneta,pickup,Kleintransporter,pickup
pilot,pilote,piloto,pilot,Pilot,pilot
plane,avion,avión,letadlo,Flugzeug,samolot
police car,voiture de police,coche de policía,policejní vůz,Polizeiauto,radiowóz
power boat,bateau à moteur,barco de motor,motorový člun,Motorboot,łódź motorowa
prairie schooner,goélette des prairies,goleta de la pradera,prérijní škuner,Prärieschoner,szkuner preriowy
propeller,hélice,hélice,vrtule,Propeller,śmigło
PT boat,Bateau PT,Embarcación PT,člun PT,PT Boot,łódź PT
pumper truck,camion pompe,camión cisterna,čerpací vůz,Pumptruck,pompa
punt,punt,batea,punt,Stocherkahn,punt
push cart,chariot à pousser,carro de empuje,tlačný vozík,Schiebewagen,wózek
racecar,voiture de course,coche de carreras,závodní vůz,Rennwagen,samochód wyścigowy
racing car,voiture de course,coche de carreras,závodní vůz,Rennwagen,samochód wyścigowy
raft,radeau,balsa,raft,Floß,tratwa
ragtop,ragtop,techo de trapo,ragtop,Flügeltürer,ragtop
railroad,chemin de fer,ferrocarril,železnice,Eisenbahn,kolej
railway,chemin de fer,ferrocarril,železnice,Eisenbahn,kolej
rapid transit,transport en commun rapide,tránsito rápido,rychlý tranzit,Schnellbahn,szybki tranzyt
recreational vehicle,véhicule de loisirs,vehículo recreativo,rekreační vozidlo,Reisemobil,pojazd rekreacyjny
rickshaw,pousse-pousse,rickshaw,rikša,Rikscha,riksza
ride,rouler,paseo,jízda,Fahrt,jazda
riverboat,bateau fluvial,barco fluvial,říční loď,Riverboat,łódź rzeczna
roadster,roadster,roadster,roadster,Roadster,roadster
rocket,fusée,cohete,raketa,Rakete,rakieta
rover,rover,rover,rover,Rover,łazik
rowboat,barque,bote de remos,veslice,Ruderboot,łódź wiosłowa
rudder,gouvernail,timón,kormidla,Ruder,ster
runabout,runabout,runabout,runabout,.,runabout
RV,VÉHICULES DE LOISIRS,RV,RV,WOHNMOBIL,RV
sail,voile,vela,plachta,Segel,żagiel
sailboat,voilier,velero,plachetnice,Segelboot,żaglówka
satellite,satellite,satélite,satelit,Satellit,satelita
school bus,bus scolaire,autobús escolar,školní autobus,Schulbus,autobus szkolny
schooner,goélette,goleta,škuner,Schoner,szkuner
scooter,scooter,scooter,skútr,Motorroller,skuter
scull,godille,scull,lebka,Skull,czaszka
seaplane,hydravion,hidroavión,hydroplán,Wasserflugzeug,wodnosamolot
sedan,berline,berlina,sedan,Limousine,sedan
sedan chair,chaise berline,silla de ruedas,křeslo sedan,Sänfte,fotel sedan
Segway,Segway,Segway,Segway,Segway,Segway
semi,semi,semi,polopřepravník,semi,semi
ship,navire,barco,loď,Schiff,statek
shuttle,navette,lanzadera,kyvadlová doprava,Shuttle,wahadłowiec
side wheeler,roue latérale,rueda lateral,boční kolový vozík,Seitenradler,wózek boczny
ski lift,remontée mécanique,remonte,lyžařský vlek,Skilift,wyciąg narciarski
ski tow,remorquage de ski,remolque de esquí,lyžařský vlek,Skischlepplift,wyciąg narciarski
skiff,skiff,esquife,skif,Skiff,skiff
sled,traîneau,trineo,sáně,Schlitten,sanki
sledge,luge,trineo,sáně,Schlitten,sanie
sleigh,traîneau,trineo,sáně,Schlitten,sanie
snow cat,chat des neiges,gato de nieve,sněžná kočka,Pistenraupe,ratrak
snowmobile,motoneige,moto de nieve,sněžný skútr,Schneemobil,skuter śnieżny
snowplow,chasse-neige,quitanieves,sněhový pluh,Schneepflug,pług śnieżny
space shuttle,navette spatiale,transbordador espacial,raketoplán,Spaceshuttle,prom kosmiczny
spaceship,vaisseau spatial,nave espacial,vesmírná loď,Raumschiff,statek kosmiczny
speedboat,hors-bord,lancha rápida,motorový člun,Schnellboot,motorówka
sport-utility vehicle/SUV,véhicule utilitaire sport/SUV,vehículo utilitario deportivo/SUV,sportovně-užitkové vozidlo/SUV,Geländewagen/SUV,pojazd sportowo-użytkowy/SUV
sports car,voiture de sport,coche deportivo,sportovní vůz,Sportwagen,samochód sportowy
squad car,voiture de police,coche patrulla,služební vůz,Streifenwagen,radiowóz
SST,SST,TSM,SST,SST,SST
stagecoach,diligence,diligencia,dostavník,Postkutsche,dyliżans
station wagon,break,ranchera,kombi,Kombiwagen,kombi
steamboat,bateau à vapeur,barco de vapor,parník,Steamboat,parowiec
steamship,bateau à vapeur,barco de vapor,parník,Dampfer,parowiec
stock car,voiture de stock,coche de serie,skladové vozidlo,Stockcar,samochód seryjny
stretch limo,limousine extensible,limusina,roztahovací limuzína,Stretchlimousine,limuzyna stretch
stroller,poussette,cochecito,kočárek,Kinderwagen,wózek
subcompact,sous-compact,subcompacto,subkompaktní,Kleinstwagen,subkompakt
submarine,sous-marin,submarino,ponorka,U-Boot,łódź podwodna
submersible,submersibles,sumergible,ponorné,Unterwasserfahrzeuge,podwodny
subway,métro,metro,metro,U-Bahn,metro
surrey,surrey,surrey,surrey,surrey,surrey
SUV,SUV,SUV,SUV,SUV,SUV
T-bar lift,Élévateur à barre en T,Elevador de barra en T,Zdvihák T-bar,Schlepplift,Podnośnik teowy
tank,char d'assaut,tanque,tank,Panzer,zbiornik
tanker,camion-citerne,cisterna,cisterna,Tankwagen,cysterna
taxi,taxi,taxi,taxi,Taxi,taksówka
taxicab,taxi,taxi,taxislužba,Taxis,taksówka
thresher,batteuse,trilladora,mlátička,Drescher,młocarnia
tire,pneu,neumático,pneumatiky,Reifen,opona
toboggan,toboggan,tobogán,sáňky,Rodelschlitten,sanki
tow truck,dépanneuse,grúa,odtahový vůz,Abschleppwagen,laweta
town car,voiture de ville,coche urbano,městský vůz,Stadtauto,samochód miejski
tracks,voies ferrées,pistas,stopy,Gleise,tory
tractor,tracteur,tractor,traktor,Traktor,ciągnik
tractor-trailer,tracteur-remorque,tractor-remolque,tahač s návěsem,Sattelzugmaschine,ciągnik siodłowy
trail bike,vélo de randonnée,bicicleta de montaña,trailové kolo,Trailbike,rower terenowy
trailer,remorque,remolque,přívěs,Anhänger,przyczepa
train,train,tren,vlak,Zug,pociąg
tram,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
tramway,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
transit,transport en commun,tránsito,tranzit,Transit,tranzyt
trawler,chalutier,arrastrero,trawler,Trawler,trawler
tricycle,tricycle,triciclo,tříkolka,Dreirad,trójkołowiec
trolley,chariot,carro,vozík,Wagen,wózek
truck,camion,camión,nákladní automobil,Lkw,ciężarówka
tugboat,remorqueur,remolcador,vlečný člun,Schlepper,holownik
two-door,deux portes,dos puertas,dvoudveřové,zweitürig,dwudrzwiowy
U-boat,U-boat,Submarino,U-boat,U-Boot,U-Boot
ultralight craft,embarcations ultralégères,embarcaciones ultraligeras,ultralehká plavidla,Ultraleichtfahrzeuge,statki ultralekkie
umiak,umiak,umiak,umiak,umiak,umiak
unicycle,monocycle,monociclo,jednokolka,Einrad,monocykl
van,fourgonnette,furgoneta,dodávka,Transporter,furgonetka
vehicle,véhicule,vehículo,vozidla,Fahrzeug,pojazd
vespa,vespa,vespa,vespa,vespa,vespa
vessel,navire,buque,plavidla,Schiff,statek
wagon,wagon,vagón,vůz,Waggon,wagon
warship,navire de guerre,buque de guerra,válečná loď,Kriegsschiff,okręt wojenny
wheel,roue,rueda,kolo,Rad,koło
wheelbarrow,brouette,carretilla,trakař,Schubkarre,taczka
wheelchair,fauteuil roulant,silla de ruedas,invalidní vozík,Rollstuhl,wózek inwalidzki
windjammer,salon de coiffure,windjammer,windjammer,Windjammer,windjammer
windshield,pare-brise,parabrisas,čelní sklo,Windschutzscheibe,przednia szyba
wreck,épave,naufragio,vrak,Wrack,wrak
yacht,yacht,yate,jachta,Jacht,jacht
yawl,yole,yola,yawl,Jolle,yawl
Zamboni,Zamboni,Zamboni,Zamboni,Zamboni,Zamboni
zeppelin,zeppelin,zepelín,zeppelin,Zeppelin,zeppelin
